source_id,target_id,edge_type,timestamp,weight
PH_0066,PH_0392,CALLED,2023-04-28T12:08:59Z,1630
PH_0067,PH_0005,CALLED,2023-02-06T10:28:20Z,635
PER_0850,ORG_0037,ASSOCIATED_WITH,,
PER_0092,PH_1342,OWNS,,
PER_0809,PH_1214,OWNS,,
PER_0517,VEH_0532,OWNS,,
PER_0220,PH_0449,OWNS,,
PER_0001,VEH_0118,OWNS,,
ACC_0998,ACC_0646,TRANSACTED_WITH,2023-10-24T21:15:11Z,946996.24
ACC_0817,ACC_0234,TRANSACTED_WITH,2023-12-21T20:16:50Z,1158816.47
PER_0384,PH_0267,OWNS,,
PER_0623,PH_0476,OWNS,,
PER_0995,PH_1054,OWNS,,
PH_0783,PH_0914,CALLED,2026-04-02T22:44:20Z,3002
PER_0738,ACC_0368,OWNS,,
PER_0867,PH_0660,OWNS,,
PER_0690,VEH_0045,OWNS,,
PH_0217,PH_0272,CALLED,2024-02-21T01:21:19Z,45
CASE_0175,PER_0772,PARTICIPATED_IN,,
PH_0034,PH_0670,CALLED,2023-04-11T15:46:14Z,3573
ACC_0832,ACC_0201,TRANSACTED_WITH,2024-09-09T07:06:44Z,507017.16
PER_0164,ACC_0511,OWNS,,
PER_0533,LOC_0049,ASSOCIATED_WITH,,
PER_0619,PH_0780,OWNS,,
PER_0858,LOC_0015,ASSOCIATED_WITH,,
PER_0314,LOC_0028,ASSOCIATED_WITH,,
PH_0121,PH_0053,CALLED,2026-06-14T08:51:04Z,2442
ACC_0827,ACC_0484,TRANSACTED_WITH,2025-11-26T10:57:44Z,2137714.83
PER_0800,PH_0013,OWNS,,
PER_0198,LOC_0150,ASSOCIATED_WITH,,
ACC_1075,ACC_1062,TRANSACTED_WITH,2025-11-10T12:02:55Z,2131606.5
PH_1351,PH_0563,CALLED,2026-05-25T13:27:32Z,2427
PER_0799,ACC_0562,OWNS,,
PER_0809,ACC_0041,OWNS,,
PH_0605,PH_0556,CALLED,2024-10-26T09:17:04Z,1669
ACC_0224,ACC_1028,TRANSACTED_WITH,2026-02-13T18:36:11Z,2396760.26
PER_0987,ACC_0487,OWNS,,
PER_0387,PH_0988,OWNS,,
PER_0809,ACC_0197,OWNS,,
ACC_0734,ACC_0074,TRANSACTED_WITH,2024-05-30T14:11:12Z,2421521.1
ACC_0039,ACC_0431,TRANSACTED_WITH,2025-10-08T02:20:42Z,1417718.23
ACC_0421,ACC_1012,TRANSACTED_WITH,2024-08-31T23:23:57Z,677442.52
PER_0762,PH_0807,OWNS,,
PH_1150,PH_0956,CALLED,2024-01-30T06:16:25Z,2535
PER_0143,LOC_0084,ASSOCIATED_WITH,,
PH_0643,PH_1144,CALLED,2024-08-21T06:33:52Z,2832
CASE_0016,PER_0992,PARTICIPATED_IN,,
PH_0189,PH_0682,CALLED,2023-03-26T19:20:42Z,2939
PH_0315,PH_0318,CALLED,2025-12-31T02:33:22Z,880
ACC_0145,ACC_1152,TRANSACTED_WITH,2023-07-18T09:34:36Z,933391.66
PER_0538,LOC_0105,ASSOCIATED_WITH,,
CASE_0200,PER_0900,PARTICIPATED_IN,,
PER_0754,LOC_0135,ASSOCIATED_WITH,,
ACC_0133,ACC_1114,TRANSACTED_WITH,2024-11-21T04:00:16Z,2134251.62
PER_0738,PH_0587,OWNS,,
PH_0960,PH_0774,CALLED,2024-10-24T03:44:57Z,1317
PER_0749,LOC_0150,ASSOCIATED_WITH,,
ACC_0931,ACC_0227,TRANSACTED_WITH,2026-03-06T16:18:20Z,2486409.6
ACC_0677,ACC_1158,TRANSACTED_WITH,2025-07-12T07:59:39Z,263849.02
ACC_0723,ACC_0762,TRANSACTED_WITH,2025-09-17T23:00:03Z,2472678.17
ACC_0614,ACC_0760,TRANSACTED_WITH,2023-01-01T16:31:22Z,1735865.31
ACC_0135,ACC_0386,TRANSACTED_WITH,2024-04-24T00:08:59Z,2288828.07
PER_0795,PH_0836,OWNS,,
PER_0261,LOC_0110,ASSOCIATED_WITH,,
PER_0085,VEH_0358,OWNS,,
PH_0747,PH_0583,CALLED,2023-02-20T08:35:40Z,1326
PH_0867,PH_1335,CALLED,2025-10-23T18:20:31Z,1454
PER_0325,PH_0049,OWNS,,
PER_0566,ACC_0853,OWNS,,
PER_0711,ORG_0053,ASSOCIATED_WITH,,
PER_0872,VEH_0424,OWNS,,
PH_0260,PH_0384,CALLED,2026-06-18T11:12:52Z,2440
ACC_0780,ACC_0904,TRANSACTED_WITH,2025-07-17T06:12:22Z,1101453.32
PH_0403,PH_0549,CALLED,2023-03-22T00:11:47Z,2079
PER_0695,ACC_0997,OWNS,,
PER_0989,VEH_0158,OWNS,,
ACC_1162,ACC_0998,TRANSACTED_WITH,2025-07-19T20:12:09Z,1841272.93
PER_0478,LOC_0138,ASSOCIATED_WITH,,
ACC_0109,ACC_0255,TRANSACTED_WITH,2025-07-04T17:21:06Z,2279887.55
PER_0810,ACC_1153,OWNS,,
ACC_0521,ACC_0122,TRANSACTED_WITH,2026-05-10T10:36:53Z,1587776.96
PER_0355,VEH_0509,OWNS,,
ACC_0230,ACC_0348,TRANSACTED_WITH,2026-06-16T07:30:20Z,5198.22
ACC_1140,ACC_0372,TRANSACTED_WITH,2025-01-06T08:05:12Z,1961460.52
PER_0589,VEH_0429,OWNS,,
PER_0688,ACC_0199,OWNS,,
PER_0656,LOC_0099,ASSOCIATED_WITH,,
PER_0131,ACC_0109,OWNS,,
CASE_0132,PER_0514,PARTICIPATED_IN,,
PER_0507,LOC_0072,ASSOCIATED_WITH,,
PER_0349,VEH_0223,OWNS,,
ACC_0954,ACC_0804,TRANSACTED_WITH,2024-03-03T02:54:51Z,2368844.39
PH_0935,PH_0672,CALLED,2025-06-28T12:41:07Z,645
ACC_1170,ACC_0683,TRANSACTED_WITH,2026-05-17T09:25:16Z,1121262.88
PER_0855,PH_1135,OWNS,,
PH_1019,PH_0984,CALLED,2026-03-14T00:06:46Z,795
ACC_0710,ACC_0781,TRANSACTED_WITH,2024-08-10T11:52:48Z,1738253.12
ACC_0181,ACC_0785,TRANSACTED_WITH,2023-03-09T21:30:46Z,1391163.08
PER_0083,VEH_0047,OWNS,,
PH_0095,PH_0956,CALLED,2023-01-05T20:28:28Z,396
PER_0678,PH_0079,OWNS,,
PH_1294,PH_0643,CALLED,2023-11-11T14:53:25Z,24
PH_0278,PH_0941,CALLED,2026-04-15T01:35:29Z,2896
PER_0196,PH_0025,OWNS,,
ACC_1051,ACC_0461,TRANSACTED_WITH,2026-02-12T08:30:38Z,835535.42
PH_1217,PH_0230,CALLED,2025-01-25T21:54:34Z,3141
PH_0788,PH_0548,CALLED,2025-02-17T05:17:22Z,1958
PER_0613,PH_0538,OWNS,,
ACC_1140,ACC_0814,TRANSACTED_WITH,2025-01-03T17:51:01Z,564255.88
ACC_0295,ACC_0284,TRANSACTED_WITH,2023-04-12T08:01:05Z,2107212.11
ACC_0352,ACC_0911,TRANSACTED_WITH,2024-02-02T20:51:06Z,2006517.44
PER_0442,VEH_0075,OWNS,,
ACC_0133,ACC_0622,TRANSACTED_WITH,2024-01-01T23:04:08Z,302671.28
PER_0173,VEH_0351,OWNS,,
CASE_0055,PER_0685,PARTICIPATED_IN,,
PH_0364,PH_1316,CALLED,2025-06-25T03:14:55Z,550
PER_0747,ACC_1152,OWNS,,
PER_0868,PH_0809,OWNS,,
ACC_0700,ACC_1178,TRANSACTED_WITH,2024-07-16T10:36:28Z,1765644.19
ACC_0007,ACC_0785,TRANSACTED_WITH,2024-07-28T20:53:11Z,771892.01
PH_0687,PH_0288,CALLED,2023-09-10T16:12:45Z,752
ACC_0268,ACC_0789,TRANSACTED_WITH,2025-11-07T12:43:32Z,310886.64
PER_0206,ACC_0421,OWNS,,
ACC_0026,ACC_0785,TRANSACTED_WITH,2024-08-31T15:09:09Z,1466748.5
ACC_0737,ACC_1015,TRANSACTED_WITH,2023-09-18T23:53:49Z,1450412.86
ACC_0343,ACC_0918,TRANSACTED_WITH,2023-01-08T01:58:17Z,1504330.3
PH_0102,PH_0316,CALLED,2025-04-30T15:31:28Z,1634
PER_0505,PH_0589,OWNS,,
ACC_0612,ACC_0115,TRANSACTED_WITH,2025-04-20T05:26:23Z,647157.23
ACC_0026,ACC_0028,TRANSACTED_WITH,2023-03-03T06:31:08Z,1041788.31
PER_0184,LOC_0114,ASSOCIATED_WITH,,
PH_1185,PH_0678,CALLED,2025-05-01T07:07:37Z,1573
PH_0125,PH_0710,CALLED,2023-03-09T18:32:12Z,270
CASE_0096,PER_0938,PARTICIPATED_IN,,
PH_1327,PH_0121,CALLED,2023-10-21T18:20:08Z,2993
PER_0979,ACC_0563,OWNS,,
ACC_1004,ACC_0230,TRANSACTED_WITH,2025-09-15T00:31:11Z,879375.27
PER_0597,PH_1374,OWNS,,
PER_0653,LOC_0145,ASSOCIATED_WITH,,
PH_1185,PH_1150,CALLED,2023-04-03T10:39:39Z,1829
PER_0711,ACC_1119,OWNS,,
PER_0817,PH_0804,OWNS,,
PER_0967,ACC_0326,OWNS,,
ACC_0746,ACC_0281,TRANSACTED_WITH,2026-05-13T13:16:05Z,893375.37
PER_0794,ORG_0101,ASSOCIATED_WITH,,
ACC_0118,ACC_0794,TRANSACTED_WITH,2025-07-09T12:48:23Z,1167040.9
PH_0126,PH_0881,CALLED,2024-12-06T14:35:39Z,2642
PER_0407,PH_0940,OWNS,,
PER_0919,VEH_0183,OWNS,,
PER_0185,ORG_0032,ASSOCIATED_WITH,,
ACC_0311,ACC_0389,TRANSACTED_WITH,2024-04-17T03:12:21Z,1495755.8
ACC_0092,ACC_0556,TRANSACTED_WITH,2025-08-04T17:10:54Z,2317618.45
ACC_0772,ACC_0188,TRANSACTED_WITH,2026-05-14T07:10:53Z,755662.25
ACC_0727,ACC_0155,TRANSACTED_WITH,2025-05-15T04:41:34Z,398417.02
CASE_0044,PER_0882,PARTICIPATED_IN,,
PH_0847,PH_0345,CALLED,2024-01-05T04:44:25Z,1852
ACC_0980,ACC_1101,TRANSACTED_WITH,2024-11-21T23:38:41Z,2097083.29
PER_0121,PH_0280,OWNS,,
PH_0305,PH_0284,CALLED,2024-02-26T15:50:33Z,848
PH_1173,PH_0917,CALLED,2024-02-22T08:34:50Z,2643
CASE_0082,PER_0223,PARTICIPATED_IN,,
PER_0733,ACC_0314,OWNS,,
PER_0509,PH_0082,OWNS,,
PER_0547,LOC_0066,ASSOCIATED_WITH,,
PER_0652,LOC_0091,ASSOCIATED_WITH,,
PER_0717,ORG_0064,ASSOCIATED_WITH,,
PER_0707,PH_0068,OWNS,,
PER_0617,LOC_0131,ASSOCIATED_WITH,,
CASE_0088,PER_0614,PARTICIPATED_IN,,
PER_0601,PH_1117,OWNS,,
ACC_0640,ACC_1050,TRANSACTED_WITH,2023-12-14T17:01:30Z,805473.9
PER_0936,PH_1178,OWNS,,
PER_0381,PH_1202,OWNS,,
ACC_1044,ACC_1023,TRANSACTED_WITH,2023-08-17T17:13:11Z,1095664.81
PH_0580,PH_0988,CALLED,2023-09-07T00:33:15Z,1822
PER_0428,ACC_0866,OWNS,,
PER_0585,ACC_0162,OWNS,,
ACC_1186,ACC_1182,TRANSACTED_WITH,2024-01-25T12:42:34Z,1239632.18
PER_0196,PH_1362,OWNS,,
PER_0754,ACC_0602,OWNS,,
ACC_0550,ACC_0905,TRANSACTED_WITH,2024-08-19T06:24:36Z,1106687.38
ACC_0846,ACC_0115,TRANSACTED_WITH,2025-09-05T14:34:08Z,327965.68
PER_0408,ACC_0385,OWNS,,
PER_0164,PH_0090,OWNS,,
PER_0399,VEH_0135,OWNS,,
ACC_0095,ACC_0361,TRANSACTED_WITH,2023-08-29T05:21:26Z,2368971.05
PER_0531,LOC_0053,ASSOCIATED_WITH,,
PER_0047,ACC_0313,OWNS,,
PH_0584,PH_0248,CALLED,2026-06-26T23:58:43Z,879
PER_0993,VEH_0237,OWNS,,
PER_0453,VEH_0661,OWNS,,
PER_0290,VEH_0013,OWNS,,
PER_0790,VEH_0738,OWNS,,
ACC_0068,ACC_0181,TRANSACTED_WITH,2025-01-20T12:25:42Z,469821.59
ACC_0706,ACC_1178,TRANSACTED_WITH,2024-02-27T05:08:41Z,1326463.61
PER_0035,LOC_0040,ASSOCIATED_WITH,,
PER_0554,PH_0339,OWNS,,
PER_0219,LOC_0036,ASSOCIATED_WITH,,
PH_0445,PH_0181,CALLED,2024-07-20T03:01:20Z,2986
ACC_1136,ACC_0917,TRANSACTED_WITH,2025-12-05T13:06:11Z,1576881.08
ACC_0972,ACC_0548,TRANSACTED_WITH,2024-05-14T23:31:56Z,1785104.45
PER_0480,LOC_0023,ASSOCIATED_WITH,,
PH_0633,PH_0029,CALLED,2024-11-15T08:11:28Z,2138
CASE_0154,PER_0850,PARTICIPATED_IN,,
ACC_1050,ACC_0721,TRANSACTED_WITH,2026-03-01T11:02:15Z,181638.98
PER_0104,ACC_0190,OWNS,,
PER_0271,PH_0382,OWNS,,
PH_0197,PH_0992,CALLED,2023-11-04T23:14:42Z,530
PH_0593,PH_0550,CALLED,2025-08-01T02:13:02Z,2505
PER_0862,ACC_0160,OWNS,,
PER_0355,LOC_0150,ASSOCIATED_WITH,,
PER_0658,PH_1069,OWNS,,
PER_0996,VEH_0690,OWNS,,
PER_0479,ACC_0581,OWNS,,
ACC_0365,ACC_0556,TRANSACTED_WITH,2023-02-12T12:42:01Z,640730.2
ACC_0414,ACC_0842,TRANSACTED_WITH,2023-10-24T21:25:02Z,587363.24
PER_0186,VEH_0202,OWNS,,
ACC_0152,ACC_0080,TRANSACTED_WITH,2023-11-07T02:49:37Z,2429534.18
PER_0334,PH_0007,OWNS,,
CASE_0158,PER_0827,PARTICIPATED_IN,,
ACC_0862,ACC_0794,TRANSACTED_WITH,2025-12-29T19:33:36Z,229692.84
PER_0062,ACC_0679,OWNS,,
PH_0452,PH_1145,CALLED,2026-07-30T11:04:35Z,3511
PH_1233,PH_0126,CALLED,2024-08-12T16:35:19Z,1640
ACC_0116,ACC_0022,TRANSACTED_WITH,2025-11-27T19:17:31Z,719069.76
PER_0105,LOC_0038,ASSOCIATED_WITH,,
PER_0362,LOC_0076,ASSOCIATED_WITH,,
PER_0894,PH_0058,OWNS,,
ACC_1024,ACC_0496,TRANSACTED_WITH,2026-04-08T01:50:04Z,1414928.6
ACC_0713,ACC_0136,TRANSACTED_WITH,2025-03-07T10:41:42Z,1497115.26
PER_0966,PH_0125,OWNS,,
ACC_0839,ACC_0109,TRANSACTED_WITH,2026-02-23T18:47:13Z,1143473.26
ACC_0186,ACC_0525,TRANSACTED_WITH,2023-09-14T07:09:15Z,1670905.05
PER_0620,ACC_0966,OWNS,,
ACC_0704,ACC_0364,TRANSACTED_WITH,2024-12-08T00:32:29Z,1542893.25
PER_0623,ACC_0050,OWNS,,
ACC_0059,ACC_0262,TRANSACTED_WITH,2026-02-16T18:11:10Z,1335277.48
PH_0031,PH_0701,CALLED,2025-11-29T09:30:48Z,778
PER_0596,VEH_0229,OWNS,,
PER_0035,PH_0278,OWNS,,
PH_0610,PH_0641,CALLED,2024-01-14T17:06:03Z,2272
PER_0647,ACC_0927,OWNS,,
PH_0001,PH_1315,CALLED,2024-12-23T06:04:19Z,167
PER_0052,ORG_0073,ASSOCIATED_WITH,,
PER_0494,LOC_0062,ASSOCIATED_WITH,,
PH_1269,PH_0219,CALLED,2026-05-26T08:49:03Z,1160
PER_0072,LOC_0117,ASSOCIATED_WITH,,
PH_0278,PH_0137,CALLED,2024-01-22T02:25:14Z,897
CASE_0027,PER_0008,PARTICIPATED_IN,,
PER_0085,PH_0921,OWNS,,
CASE_0045,PER_0351,PARTICIPATED_IN,,
PER_0428,PH_0846,OWNS,,
ACC_0930,ACC_0680,TRANSACTED_WITH,2024-02-06T21:07:02Z,1232220.52
CASE_0098,PER_0435,PARTICIPATED_IN,,
ACC_0733,ACC_0280,TRANSACTED_WITH,2025-01-02T18:57:26Z,2183988.54
PER_0790,ORG_0023,ASSOCIATED_WITH,,
PER_0826,ORG_0089,ASSOCIATED_WITH,,
ACC_0242,ACC_0949,TRANSACTED_WITH,2023-03-14T05:23:41Z,1821888.99
PER_0374,PH_1075,OWNS,,
PH_0178,PH_0047,CALLED,2023-01-25T00:21:13Z,3262
PH_0368,PH_0851,CALLED,2023-12-18T15:32:11Z,656
PH_0163,PH_0866,CALLED,2025-03-05T03:24:50Z,1076
PH_0892,PH_0778,CALLED,2024-10-28T00:38:13Z,2114
ACC_0851,ACC_1105,TRANSACTED_WITH,2023-11-02T02:17:32Z,2221167.15
PER_0336,LOC_0117,ASSOCIATED_WITH,,
PER_0866,PH_0593,OWNS,,
PER_0205,LOC_0146,ASSOCIATED_WITH,,
