person_id,org_id,role_in_org
PER_0484,ORG_0001,Money Launderer
PER_0485,ORG_0048,Kingpin
PER_0487,ORG_0118,Informant
PER_0488,ORG_0039,Courier
PER_0489,ORG_0085,Money Launderer
PER_0490,ORG_0079,Associate
PER_0491,ORG_0052,Enforcer
PER_0493,ORG_0049,Lieutenant
PER_0494,ORG_0091,Lieutenant
PER_0495,ORG_0017,Money Launderer
PER_0496,ORG_0031,Kingpin
PER_0497,ORG_0002,Money Launderer
PER_0498,ORG_0117,Lieutenant
PER_0499,ORG_0010,Lieutenant
PER_0500,ORG_0106,Kingpin
PER_0501,ORG_0036,Lieutenant
PER_0502,ORG_0036,Kingpin
PER_0503,ORG_0021,Enforcer
PER_0504,ORG_0075,Associate
PER_0505,ORG_0013,Lieutenant
PER_0507,ORG_0025,Money Launderer
PER_0508,ORG_0096,Kingpin
PER_0509,ORG_0009,Smuggler
PER_0510,ORG_0013,Smuggler
PER_0511,ORG_0027,Kingpin
PER_0512,ORG_0046,Money Launderer
PER_0514,ORG_0119,Associate
PER_0515,ORG_0004,Enforcer
PER_0516,ORG_0064,Associate
PER_0517,ORG_0014,Informant
PER_0518,ORG_0111,Money Launderer
PER_0519,ORG_0055,Lieutenant
PER_0520,ORG_0097,Informant
PER_0521,ORG_0078,Lieutenant
PER_0523,ORG_0094,Informant
PER_0526,ORG_0114,Smuggler
PER_0527,ORG_0019,Lieutenant
PER_0529,ORG_0054,Informant
PER_0530,ORG_0063,Associate
PER_0531,ORG_0101,Associate
PER_0532,ORG_0112,Enforcer
PER_0533,ORG_0006,Courier
PER_0534,ORG_0026,Smuggler
PER_0535,ORG_0106,Courier
PER_0536,ORG_0028,Informant
PER_0537,ORG_0070,Courier
PER_0539,ORG_0057,Associate
PER_0541,ORG_0068,Enforcer
PER_0542,ORG_0084,Courier
PER_0543,ORG_0097,Courier
PER_0544,ORG_0111,Informant
PER_0545,ORG_0057,Lieutenant
PER_0546,ORG_0110,Associate
PER_0547,ORG_0113,Enforcer
PER_0549,ORG_0010,Enforcer
PER_0550,ORG_0057,Associate
PER_0551,ORG_0075,Smuggler
PER_0552,ORG_0097,Lieutenant
PER_0553,ORG_0115,Lieutenant
PER_0554,ORG_0010,Smuggler
PER_0556,ORG_0027,Associate
PER_0557,ORG_0014,Smuggler
PER_0558,ORG_0069,Money Launderer
PER_0559,ORG_0021,Enforcer
PER_0560,ORG_0007,Courier
PER_0561,ORG_0094,Associate
PER_0562,ORG_0101,Associate
PER_0563,ORG_0114,Lieutenant
PER_0564,ORG_0107,Associate
PER_0566,ORG_0119,Associate
PER_0567,ORG_0066,Enforcer
PER_0568,ORG_0032,Money Launderer
PER_0569,ORG_0039,Enforcer
PER_0570,ORG_0048,Associate
PER_0571,ORG_0087,Associate
PER_0577,ORG_0070,Courier
PER_0580,ORG_0055,Associate
PER_0582,ORG_0061,Associate
PER_0583,ORG_0083,Courier
PER_0584,ORG_0025,Money Launderer
PER_0587,ORG_0074,Informant
PER_0588,ORG_0118,Associate
PER_0589,ORG_0027,Smuggler
PER_0590,ORG_0003,Informant
PER_0591,ORG_0083,Lieutenant
PER_0592,ORG_0064,Enforcer
PER_0593,ORG_0093,Enforcer
PER_0594,ORG_0040,Kingpin
PER_0597,ORG_0112,Kingpin
PER_0600,ORG_0001,Informant
PER_0602,ORG_0015,Money Launderer
PER_0604,ORG_0047,Kingpin
PER_0605,ORG_0096,Kingpin
PER_0606,ORG_0039,Courier
PER_0608,ORG_0098,Enforcer
PER_0609,ORG_0019,Smuggler
PER_0610,ORG_0017,Money Launderer
PER_0611,ORG_0077,Lieutenant
PER_0612,ORG_0055,Associate
PER_0613,ORG_0089,Smuggler
PER_0614,ORG_0085,Enforcer
PER_0616,ORG_0100,Enforcer
PER_0618,ORG_0098,Kingpin
PER_0619,ORG_0098,Smuggler
PER_0620,ORG_0075,Informant
PER_0621,ORG_0092,Enforcer
PER_0622,ORG_0109,Informant
PER_0623,ORG_0063,Smuggler
PER_0624,ORG_0095,Enforcer
PER_0625,ORG_0048,Informant
PER_0626,ORG_0028,Kingpin
PER_0627,ORG_0060,Kingpin
PER_0628,ORG_0017,Money Launderer
PER_0629,ORG_0078,Kingpin
PER_0630,ORG_0069,Enforcer
PER_0631,ORG_0029,Money Launderer
PER_0632,ORG_0083,Money Launderer
PER_0633,ORG_0021,Enforcer
PER_0635,ORG_0029,Courier
PER_0637,ORG_0076,Kingpin
PER_0638,ORG_0044,Informant
PER_0639,ORG_0053,Enforcer
PER_0640,ORG_0104,Money Launderer
PER_0641,ORG_0083,Associate
PER_0642,ORG_0059,Courier
PER_0643,ORG_0029,Kingpin
PER_0644,ORG_0069,Courier
PER_0645,ORG_0088,Informant
PER_0647,ORG_0075,Smuggler
PER_0648,ORG_0100,Lieutenant
PER_0649,ORG_0087,Associate
PER_0651,ORG_0102,Informant
PER_0653,ORG_0104,Courier
PER_0654,ORG_0043,Courier
PER_0655,ORG_0117,Kingpin
PER_0656,ORG_0099,Courier
PER_0657,ORG_0082,Informant
PER_0658,ORG_0085,Courier
PER_0659,ORG_0018,Money Launderer
PER_0661,ORG_0106,Smuggler
PER_0662,ORG_0025,Smuggler
PER_0663,ORG_0075,Lieutenant
PER_0666,ORG_0033,Enforcer
PER_0668,ORG_0067,Smuggler
PER_0669,ORG_0054,Enforcer
PER_0670,ORG_0002,Smuggler
PER_0673,ORG_0082,Associate
PER_0675,ORG_0059,Enforcer
PER_0676,ORG_0036,Money Launderer
PER_0678,ORG_0045,Money Launderer
PER_0679,ORG_0084,Informant
PER_0680,ORG_0044,Courier
PER_0681,ORG_0087,Smuggler
PER_0682,ORG_0037,Lieutenant
PER_0683,ORG_0109,Kingpin
PER_0685,ORG_0118,Informant
PER_0686,ORG_0076,Lieutenant
PER_0687,ORG_0059,Lieutenant
PER_0688,ORG_0065,Lieutenant
PER_0689,ORG_0069,Money Launderer
PER_0690,ORG_0076,Informant
PER_0691,ORG_0022,Associate
PER_0692,ORG_0115,Money Launderer
PER_0693,ORG_0103,Kingpin
PER_0695,ORG_0095,Smuggler
PER_0697,ORG_0087,Courier
PER_0698,ORG_0119,Money Launderer
PER_0699,ORG_0099,Associate
PER_0700,ORG_0040,Kingpin
PER_0701,ORG_0009,Lieutenant
PER_0702,ORG_0101,Lieutenant
PER_0704,ORG_0089,Money Launderer
PER_0705,ORG_0086,Informant
PER_0706,ORG_0089,Kingpin
PER_0708,ORG_0013,Enforcer
PER_0709,ORG_0003,Enforcer
PER_0710,ORG_0040,Lieutenant
PER_0711,ORG_0053,Courier
PER_0712,ORG_0067,Lieutenant
PER_0713,ORG_0035,Informant
PER_0715,ORG_0099,Smuggler
PER_0716,ORG_0106,Informant
PER_0717,ORG_0064,Courier
PER_0719,ORG_0071,Lieutenant
PER_0720,ORG_0011,Associate
PER_0724,ORG_0100,Enforcer
PER_0726,ORG_0042,Smuggler
PER_0727,ORG_0007,Courier
PER_0728,ORG_0085,Money Launderer
PER_0729,ORG_0101,Associate
PER_0730,ORG_0060,Lieutenant
PER_0731,ORG_0040,Informant
PER_0732,ORG_0085,Enforcer
PER_0733,ORG_0068,Smuggler
PER_0734,ORG_0079,Lieutenant
PER_0735,ORG_0085,Courier
PER_0736,ORG_0077,Kingpin
PER_0737,ORG_0087,Enforcer
PER_0739,ORG_0100,Courier
PER_0741,ORG_0030,Courier
PER_0742,ORG_0013,Lieutenant
PER_0743,ORG_0057,Courier
PER_0744,ORG_0113,Lieutenant
PER_0745,ORG_0120,Associate
PER_0746,ORG_0019,Smuggler
PER_0747,ORG_0108,Lieutenant
PER_0748,ORG_0037,Lieutenant
PER_0749,ORG_0037,Kingpin
PER_0750,ORG_0016,Smuggler
PER_0752,ORG_0025,Informant
PER_0754,ORG_0099,Associate
PER_0755,ORG_0032,Enforcer
PER_0758,ORG_0046,Kingpin
PER_0759,ORG_0105,Kingpin
PER_0760,ORG_0066,Smuggler
PER_0761,ORG_0022,Smuggler
PER_0762,ORG_0077,Enforcer
PER_0764,ORG_0008,Lieutenant
PER_0766,ORG_0116,Associate
PER_0767,ORG_0035,Lieutenant
PER_0769,ORG_0046,Courier
PER_0770,ORG_0104,Associate
PER_0771,ORG_0038,Informant
PER_0773,ORG_0101,Informant
PER_0774,ORG_0027,Money Launderer
PER_0775,ORG_0041,Smuggler
PER_0777,ORG_0020,Courier
PER_0778,ORG_0010,Courier
PER_0779,ORG_0034,Money Launderer
PER_0782,ORG_0118,Kingpin
PER_0783,ORG_0082,Informant
PER_0785,ORG_0063,Smuggler
PER_0787,ORG_0084,Smuggler
PER_0788,ORG_0007,Enforcer
PER_0789,ORG_0047,Informant
PER_0790,ORG_0023,Kingpin
PER_0792,ORG_0034,Informant
PER_0794,ORG_0101,Enforcer
PER_0795,ORG_0084,Courier
PER_0796,ORG_0032,Courier
PER_0797,ORG_0047,Informant
PER_0798,ORG_0072,Smuggler
PER_0799,ORG_0018,Associate
PER_0800,ORG_0055,Courier
PER_0802,ORG_0014,Lieutenant
PER_0803,ORG_0041,Associate
PER_0804,ORG_0080,Lieutenant
PER_0805,ORG_0079,Money Launderer
PER_0806,ORG_0095,Kingpin
PER_0808,ORG_0011,Courier
PER_0809,ORG_0109,Money Launderer
PER_0810,ORG_0041,Courier
PER_0811,ORG_0098,Kingpin
PER_0812,ORG_0113,Kingpin
PER_0813,ORG_0020,Associate
PER_0814,ORG_0017,Associate
PER_0815,ORG_0080,Associate
PER_0816,ORG_0069,Smuggler
PER_0818,ORG_0075,Courier
PER_0819,ORG_0085,Informant
PER_0820,ORG_0005,Lieutenant
PER_0824,ORG_0076,Lieutenant
PER_0825,ORG_0045,Kingpin
PER_0826,ORG_0089,Kingpin
PER_0827,ORG_0086,Courier
PER_0828,ORG_0081,Kingpin
PER_0829,ORG_0083,Smuggler
PER_0831,ORG_0044,Lieutenant
PER_0833,ORG_0041,Courier
PER_0835,ORG_0086,Informant
PER_0836,ORG_0075,Associate
PER_0837,ORG_0115,Courier
PER_0838,ORG_0058,Informant
PER_0839,ORG_0047,Enforcer
PER_0840,ORG_0102,Informant
PER_0841,ORG_0117,Informant
PER_0844,ORG_0061,Lieutenant
PER_0845,ORG_0062,Courier
PER_0846,ORG_0100,Courier
PER_0847,ORG_0073,Lieutenant
PER_0848,ORG_0102,Lieutenant
PER_0849,ORG_0005,Associate
PER_0850,ORG_0037,Lieutenant
PER_0851,ORG_0007,Smuggler
PER_0852,ORG_0050,Enforcer
PER_0853,ORG_0112,Informant
PER_0854,ORG_0018,Associate
PER_0855,ORG_0070,Informant
PER_0856,ORG_0095,Associate
PER_0857,ORG_0047,Smuggler
PER_0858,ORG_0103,Associate
PER_0859,ORG_0060,Enforcer
PER_0860,ORG_0101,Smuggler
PER_0861,ORG_0072,Enforcer
PER_0862,ORG_0084,Informant
PER_0863,ORG_0084,Lieutenant
PER_0864,ORG_0003,Courier
PER_0865,ORG_0018,Associate
PER_0867,ORG_0033,Kingpin
PER_0870,ORG_0104,Lieutenant
PER_0871,ORG_0094,Lieutenant
PER_0873,ORG_0012,Courier
PER_0874,ORG_0008,Smuggler
PER_0875,ORG_0079,Lieutenant
PER_0876,ORG_0105,Informant
PER_0877,ORG_0108,Courier
PER_0878,ORG_0033,Informant
PER_0879,ORG_0057,Enforcer
PER_0880,ORG_0051,Lieutenant
PER_0881,ORG_0047,Smuggler
PER_0882,ORG_0115,Enforcer
PER_0883,ORG_0091,Kingpin
PER_0884,ORG_0026,Money Launderer
PER_0886,ORG_0008,Associate
PER_0887,ORG_0048,Lieutenant
PER_0889,ORG_0096,Enforcer
PER_0890,ORG_0089,Money Launderer
PER_0891,ORG_0039,Money Launderer
PER_0892,ORG_0082,Associate
PER_0893,ORG_0120,Associate
PER_0894,ORG_0035,Enforcer
PER_0895,ORG_0059,Enforcer
PER_0896,ORG_0046,Informant
PER_0898,ORG_0055,Money Launderer
PER_0900,ORG_0076,Kingpin
PER_0901,ORG_0073,Courier
PER_0902,ORG_0034,Enforcer
PER_0903,ORG_0103,Kingpin
PER_0904,ORG_0090,Smuggler
PER_0905,ORG_0046,Courier
PER_0906,ORG_0046,Associate
PER_0907,ORG_0094,Kingpin
PER_0908,ORG_0015,Smuggler
PER_0910,ORG_0093,Money Launderer
PER_0912,ORG_0037,Enforcer
PER_0913,ORG_0111,Kingpin
PER_0914,ORG_0019,Enforcer
PER_0915,ORG_0014,Informant
PER_0916,ORG_0017,Enforcer
PER_0917,ORG_0120,Enforcer
PER_0918,ORG_0116,Money Launderer
PER_0920,ORG_0027,Courier
PER_0921,ORG_0086,Courier
PER_0922,ORG_0061,Smuggler
PER_0923,ORG_0060,Smuggler
PER_0924,ORG_0105,Enforcer
PER_0925,ORG_0004,Associate
PER_0926,ORG_0036,Enforcer
PER_0927,ORG_0036,Informant
PER_0928,ORG_0050,Lieutenant
PER_0929,ORG_0047,Informant
PER_0932,ORG_0065,Informant
PER_0938,ORG_0017,Informant
PER_0939,ORG_0078,Informant
PER_0941,ORG_0084,Associate
PER_0942,ORG_0082,Informant
PER_0943,ORG_0046,Informant
PER_0945,ORG_0068,Lieutenant
PER_0946,ORG_0018,Money Launderer
PER_0947,ORG_0120,Money Launderer
PER_0948,ORG_0063,Kingpin
PER_0949,ORG_0035,Courier
PER_0951,ORG_0041,Enforcer
PER_0952,ORG_0028,Lieutenant
PER_0953,ORG_0030,Informant
PER_0954,ORG_0113,Money Launderer
PER_0955,ORG_0094,Smuggler
PER_0956,ORG_0092,Enforcer
PER_0957,ORG_0028,Lieutenant
PER_0958,ORG_0099,Money Launderer
PER_0959,ORG_0024,Informant
PER_0961,ORG_0016,Courier
PER_0965,ORG_0022,Informant
PER_0968,ORG_0033,Lieutenant
PER_0969,ORG_0090,Associate
PER_0970,ORG_0113,Associate
PER_0971,ORG_0101,Associate
PER_0972,ORG_0102,Lieutenant
PER_0973,ORG_0044,Informant
PER_0974,ORG_0064,Lieutenant
