person_id,location_id,association_type
PER_0055,LOC_0052,Residence
PER_0056,LOC_0019,Meeting Point
PER_0057,LOC_0147,Meeting Point
PER_0058,LOC_0010,Spotted
PER_0059,LOC_0007,Spotted
PER_0059,LOC_0044,Spotted
PER_0059,LOC_0024,Spotted
PER_0060,LOC_0092,Spotted
PER_0061,LOC_0109,Frequent Hideout
PER_0061,LOC_0115,Frequent Hideout
PER_0061,LOC_0072,Frequent Hideout
PER_0062,LOC_0133,Meeting Point
PER_0062,LOC_0078,Spotted
PER_0062,LOC_0145,Spotted
PER_0063,LOC_0059,Residence
PER_0064,LOC_0007,Frequent Hideout
PER_0064,LOC_0055,Spotted
PER_0065,LOC_0001,Residence
PER_0066,LOC_0150,Meeting Point
PER_0066,LOC_0047,Meeting Point
PER_0067,LOC_0055,Residence
PER_0067,LOC_0099,Meeting Point
PER_0068,LOC_0117,Meeting Point
PER_0068,LOC_0061,Frequent Hideout
PER_0068,LOC_0027,Spotted
PER_0069,LOC_0040,Meeting Point
PER_0069,LOC_0070,Frequent Hideout
PER_0070,LOC_0144,Spotted
PER_0071,LOC_0097,Frequent Hideout
PER_0071,LOC_0085,Meeting Point
PER_0071,LOC_0063,Meeting Point
PER_0072,LOC_0117,Residence
PER_0072,LOC_0024,Frequent Hideout
PER_0072,LOC_0067,Spotted
PER_0073,LOC_0052,Meeting Point
PER_0073,LOC_0032,Meeting Point
PER_0073,LOC_0124,Residence
PER_0074,LOC_0002,Spotted
PER_0074,LOC_0094,Residence
PER_0075,LOC_0059,Meeting Point
PER_0075,LOC_0082,Frequent Hideout
PER_0076,LOC_0032,Meeting Point
PER_0077,LOC_0087,Residence
PER_0078,LOC_0143,Spotted
PER_0078,LOC_0049,Spotted
PER_0079,LOC_0078,Frequent Hideout
PER_0079,LOC_0103,Meeting Point
PER_0080,LOC_0027,Spotted
PER_0081,LOC_0084,Residence
PER_0081,LOC_0093,Frequent Hideout
PER_0081,LOC_0125,Frequent Hideout
PER_0082,LOC_0034,Residence
PER_0082,LOC_0122,Meeting Point
PER_0083,LOC_0150,Spotted
PER_0083,LOC_0039,Spotted
PER_0084,LOC_0015,Spotted
PER_0085,LOC_0045,Meeting Point
PER_0086,LOC_0002,Residence
PER_0087,LOC_0021,Residence
PER_0087,LOC_0029,Spotted
PER_0087,LOC_0015,Meeting Point
PER_0088,LOC_0107,Residence
PER_0089,LOC_0118,Spotted
PER_0089,LOC_0050,Spotted
PER_0089,LOC_0144,Residence
PER_0090,LOC_0023,Frequent Hideout
PER_0091,LOC_0013,Frequent Hideout
PER_0092,LOC_0050,Meeting Point
PER_0092,LOC_0136,Residence
PER_0092,LOC_0078,Meeting Point
PER_0093,LOC_0033,Frequent Hideout
PER_0093,LOC_0051,Residence
PER_0094,LOC_0068,Spotted
PER_0095,LOC_0032,Frequent Hideout
PER_0095,LOC_0127,Meeting Point
PER_0095,LOC_0120,Spotted
PER_0096,LOC_0108,Frequent Hideout
PER_0096,LOC_0018,Frequent Hideout
PER_0097,LOC_0136,Frequent Hideout
PER_0098,LOC_0006,Meeting Point
PER_0099,LOC_0021,Meeting Point
PER_0100,LOC_0032,Meeting Point
PER_0100,LOC_0124,Residence
PER_0101,LOC_0058,Frequent Hideout
PER_0101,LOC_0008,Meeting Point
PER_0101,LOC_0040,Spotted
PER_0102,LOC_0112,Frequent Hideout
PER_0103,LOC_0130,Spotted
PER_0103,LOC_0049,Residence
PER_0104,LOC_0119,Spotted
PER_0104,LOC_0112,Residence
PER_0105,LOC_0038,Frequent Hideout
PER_0106,LOC_0018,Frequent Hideout
PER_0106,LOC_0147,Spotted
PER_0106,LOC_0059,Frequent Hideout
PER_0107,LOC_0039,Residence
PER_0107,LOC_0103,Frequent Hideout
PER_0107,LOC_0117,Meeting Point
PER_0108,LOC_0062,Spotted
PER_0108,LOC_0119,Spotted
PER_0108,LOC_0150,Frequent Hideout
PER_0109,LOC_0081,Frequent Hideout
PER_0110,LOC_0107,Spotted
PER_0110,LOC_0066,Spotted
PER_0110,LOC_0067,Frequent Hideout
PER_0111,LOC_0110,Residence
PER_0111,LOC_0139,Residence
PER_0111,LOC_0112,Residence
PER_0112,LOC_0057,Meeting Point
PER_0112,LOC_0012,Spotted
PER_0113,LOC_0134,Residence
PER_0114,LOC_0144,Meeting Point
PER_0114,LOC_0128,Residence
PER_0115,LOC_0082,Residence
PER_0115,LOC_0090,Meeting Point
PER_0116,LOC_0043,Meeting Point
PER_0116,LOC_0124,Residence
PER_0116,LOC_0136,Frequent Hideout
PER_0117,LOC_0148,Frequent Hideout
PER_0117,LOC_0026,Residence
PER_0118,LOC_0069,Meeting Point
PER_0118,LOC_0100,Frequent Hideout
PER_0118,LOC_0061,Residence
PER_0119,LOC_0046,Meeting Point
PER_0119,LOC_0102,Residence
PER_0120,LOC_0038,Frequent Hideout
PER_0121,LOC_0131,Residence
PER_0121,LOC_0077,Residence
PER_0122,LOC_0082,Spotted
PER_0123,LOC_0146,Frequent Hideout
PER_0123,LOC_0126,Meeting Point
PER_0123,LOC_0120,Frequent Hideout
PER_0124,LOC_0092,Spotted
PER_0124,LOC_0126,Spotted
PER_0124,LOC_0149,Residence
PER_0125,LOC_0038,Spotted
PER_0125,LOC_0066,Residence
PER_0125,LOC_0116,Residence
PER_0126,LOC_0123,Frequent Hideout
PER_0127,LOC_0117,Frequent Hideout
PER_0127,LOC_0004,Meeting Point
PER_0128,LOC_0091,Meeting Point
PER_0129,LOC_0119,Residence
PER_0129,LOC_0111,Frequent Hideout
PER_0129,LOC_0027,Spotted
PER_0130,LOC_0075,Frequent Hideout
PER_0130,LOC_0042,Residence
PER_0130,LOC_0053,Residence
PER_0131,LOC_0011,Frequent Hideout
PER_0131,LOC_0093,Residence
PER_0131,LOC_0102,Frequent Hideout
PER_0132,LOC_0043,Frequent Hideout
PER_0132,LOC_0065,Meeting Point
PER_0132,LOC_0144,Frequent Hideout
PER_0133,LOC_0029,Residence
PER_0134,LOC_0134,Frequent Hideout
PER_0134,LOC_0135,Residence
PER_0135,LOC_0113,Frequent Hideout
PER_0136,LOC_0110,Spotted
PER_0136,LOC_0091,Frequent Hideout
PER_0136,LOC_0075,Frequent Hideout
PER_0137,LOC_0121,Frequent Hideout
PER_0138,LOC_0017,Meeting Point
PER_0139,LOC_0141,Spotted
PER_0140,LOC_0140,Meeting Point
PER_0141,LOC_0018,Frequent Hideout
PER_0141,LOC_0112,Meeting Point
PER_0142,LOC_0111,Spotted
PER_0142,LOC_0054,Residence
PER_0142,LOC_0102,Frequent Hideout
PER_0143,LOC_0084,Residence
PER_0143,LOC_0091,Residence
PER_0143,LOC_0085,Residence
PER_0144,LOC_0021,Residence
PER_0144,LOC_0009,Spotted
PER_0145,LOC_0138,Frequent Hideout
PER_0145,LOC_0066,Meeting Point
PER_0145,LOC_0033,Frequent Hideout
PER_0146,LOC_0013,Residence
PER_0147,LOC_0108,Residence
PER_0148,LOC_0035,Frequent Hideout
PER_0148,LOC_0034,Spotted
PER_0149,LOC_0040,Frequent Hideout
PER_0150,LOC_0049,Spotted
PER_0151,LOC_0037,Meeting Point
PER_0151,LOC_0071,Spotted
PER_0151,LOC_0051,Frequent Hideout
PER_0152,LOC_0030,Frequent Hideout
PER_0152,LOC_0112,Residence
PER_0152,LOC_0147,Residence
PER_0153,LOC_0102,Residence
PER_0153,LOC_0057,Meeting Point
PER_0154,LOC_0099,Meeting Point
PER_0154,LOC_0143,Spotted
PER_0155,LOC_0064,Frequent Hideout
PER_0156,LOC_0066,Spotted
PER_0157,LOC_0065,Residence
PER_0157,LOC_0017,Meeting Point
PER_0158,LOC_0112,Meeting Point
PER_0159,LOC_0149,Residence
PER_0159,LOC_0119,Residence
PER_0160,LOC_0140,Spotted
PER_0160,LOC_0074,Residence
PER_0160,LOC_0075,Residence
PER_0161,LOC_0025,Meeting Point
PER_0161,LOC_0126,Spotted
PER_0162,LOC_0149,Meeting Point
PER_0163,LOC_0044,Frequent Hideout
PER_0163,LOC_0133,Spotted
PER_0163,LOC_0001,Residence
PER_0164,LOC_0092,Residence
PER_0165,LOC_0005,Meeting Point
PER_0165,LOC_0105,Residence
PER_0166,LOC_0050,Frequent Hideout
PER_0166,LOC_0032,Spotted
PER_0166,LOC_0085,Spotted
PER_0167,LOC_0063,Frequent Hideout
PER_0168,LOC_0142,Residence
PER_0169,LOC_0129,Frequent Hideout
PER_0169,LOC_0141,Meeting Point
PER_0170,LOC_0114,Spotted
PER_0170,LOC_0078,Spotted
PER_0170,LOC_0061,Residence
PER_0171,LOC_0079,Frequent Hideout
PER_0171,LOC_0128,Spotted
PER_0171,LOC_0104,Frequent Hideout
PER_0172,LOC_0094,Residence
PER_0172,LOC_0012,Residence
PER_0172,LOC_0028,Spotted
PER_0173,LOC_0084,Spotted
PER_0174,LOC_0112,Meeting Point
PER_0174,LOC_0047,Frequent Hideout
PER_0174,LOC_0119,Meeting Point
PER_0175,LOC_0057,Residence
PER_0176,LOC_0071,Residence
PER_0176,LOC_0137,Frequent Hideout
PER_0177,LOC_0066,Spotted
PER_0178,LOC_0130,Residence
PER_0178,LOC_0002,Meeting Point
PER_0178,LOC_0121,Residence
PER_0179,LOC_0034,Frequent Hideout
PER_0179,LOC_0046,Spotted
PER_0180,LOC_0085,Frequent Hideout
PER_0180,LOC_0076,Residence
PER_0180,LOC_0094,Spotted
PER_0181,LOC_0091,Meeting Point
PER_0181,LOC_0145,Spotted
PER_0181,LOC_0105,Meeting Point
PER_0182,LOC_0023,Frequent Hideout
PER_0182,LOC_0028,Meeting Point
PER_0183,LOC_0141,Spotted
PER_0183,LOC_0058,Spotted
PER_0183,LOC_0005,Meeting Point
PER_0184,LOC_0037,Spotted
PER_0184,LOC_0114,Spotted
PER_0185,LOC_0027,Residence
PER_0185,LOC_0023,Spotted
PER_0185,LOC_0100,Meeting Point
PER_0186,LOC_0028,Spotted
PER_0187,LOC_0043,Frequent Hideout
PER_0187,LOC_0047,Frequent Hideout
PER_0187,LOC_0030,Meeting Point
PER_0188,LOC_0134,Residence
PER_0188,LOC_0097,Frequent Hideout
PER_0188,LOC_0016,Spotted
PER_0189,LOC_0111,Frequent Hideout
PER_0189,LOC_0019,Frequent Hideout
PER_0190,LOC_0127,Spotted
PER_0191,LOC_0028,Frequent Hideout
PER_0191,LOC_0030,Meeting Point
PER_0192,LOC_0033,Spotted
PER_0192,LOC_0120,Meeting Point
PER_0192,LOC_0027,Residence
PER_0193,LOC_0055,Meeting Point
PER_0194,LOC_0139,Frequent Hideout
PER_0194,LOC_0133,Spotted
PER_0194,LOC_0091,Meeting Point
PER_0195,LOC_0027,Frequent Hideout
PER_0195,LOC_0140,Meeting Point
PER_0195,LOC_0067,Meeting Point
PER_0196,LOC_0063,Residence
PER_0196,LOC_0014,Residence
PER_0196,LOC_0146,Meeting Point
PER_0197,LOC_0128,Spotted
PER_0198,LOC_0150,Spotted
PER_0198,LOC_0077,Meeting Point
PER_0198,LOC_0071,Spotted
PER_0199,LOC_0071,Residence
PER_0199,LOC_0029,Meeting Point
PER_0200,LOC_0149,Meeting Point
PER_0200,LOC_0044,Frequent Hideout
PER_0201,LOC_0088,Frequent Hideout
PER_0201,LOC_0073,Spotted
PER_0202,LOC_0091,Residence
PER_0202,LOC_0146,Meeting Point
PER_0203,LOC_0067,Frequent Hideout
PER_0204,LOC_0149,Frequent Hideout
PER_0204,LOC_0132,Spotted
PER_0205,LOC_0146,Meeting Point
PER_0205,LOC_0014,Spotted
PER_0205,LOC_0119,Spotted
PER_0206,LOC_0130,Meeting Point
PER_0206,LOC_0058,Spotted
PER_0207,LOC_0142,Meeting Point
PER_0207,LOC_0019,Meeting Point
PER_0208,LOC_0080,Residence
PER_0208,LOC_0056,Meeting Point
PER_0208,LOC_0079,Frequent Hideout
PER_0209,LOC_0114,Residence
PER_0210,LOC_0120,Frequent Hideout
PER_0210,LOC_0100,Spotted
PER_0210,LOC_0025,Residence
PER_0211,LOC_0001,Frequent Hideout
PER_0211,LOC_0126,Meeting Point
PER_0211,LOC_0131,Frequent Hideout
PER_0212,LOC_0049,Frequent Hideout
PER_0213,LOC_0129,Residence
PER_0213,LOC_0083,Frequent Hideout
PER_0213,LOC_0073,Frequent Hideout
PER_0214,LOC_0149,Frequent Hideout
PER_0214,LOC_0088,Spotted
PER_0215,LOC_0012,Residence
PER_0215,LOC_0048,Frequent Hideout
PER_0215,LOC_0058,Meeting Point
PER_0216,LOC_0051,Meeting Point
PER_0216,LOC_0041,Frequent Hideout
PER_0217,LOC_0085,Spotted
PER_0217,LOC_0031,Meeting Point
PER_0218,LOC_0068,Residence
PER_0219,LOC_0036,Frequent Hideout
PER_0220,LOC_0069,Meeting Point
PER_0221,LOC_0020,Meeting Point
PER_0221,LOC_0075,Spotted
PER_0222,LOC_0150,Frequent Hideout
PER_0223,LOC_0092,Spotted
PER_0223,LOC_0081,Meeting Point
PER_0223,LOC_0095,Residence
PER_0224,LOC_0010,Residence
PER_0225,LOC_0030,Spotted
PER_0225,LOC_0121,Residence
PER_0226,LOC_0108,Spotted
PER_0227,LOC_0093,Spotted
PER_0227,LOC_0145,Meeting Point
PER_0228,LOC_0029,Residence
PER_0228,LOC_0041,Frequent Hideout
PER_0229,LOC_0024,Residence
PER_0229,LOC_0038,Meeting Point
PER_0229,LOC_0123,Spotted
PER_0230,LOC_0113,Meeting Point
PER_0231,LOC_0040,Frequent Hideout
PER_0232,LOC_0139,Frequent Hideout
PER_0233,LOC_0007,Spotted
PER_0233,LOC_0094,Spotted
PER_0233,LOC_0099,Meeting Point
PER_0234,LOC_0091,Spotted
PER_0234,LOC_0064,Spotted
PER_0234,LOC_0002,Spotted
PER_0235,LOC_0088,Spotted
PER_0235,LOC_0149,Residence
PER_0236,LOC_0105,Frequent Hideout
PER_0237,LOC_0086,Meeting Point
PER_0237,LOC_0110,Meeting Point
PER_0237,LOC_0002,Meeting Point
PER_0238,LOC_0080,Frequent Hideout
PER_0238,LOC_0056,Meeting Point
PER_0238,LOC_0060,Meeting Point
PER_0239,LOC_0148,Residence
PER_0240,LOC_0106,Residence
PER_0240,LOC_0010,Frequent Hideout
PER_0241,LOC_0063,Meeting Point
PER_0241,LOC_0103,Frequent Hideout
PER_0241,LOC_0145,Meeting Point
PER_0242,LOC_0005,Residence
PER_0242,LOC_0048,Meeting Point
PER_0242,LOC_0039,Spotted
PER_0243,LOC_0006,Residence
PER_0243,LOC_0103,Meeting Point
PER_0244,LOC_0010,Residence
PER_0244,LOC_0111,Residence
PER_0244,LOC_0119,Spotted
PER_0245,LOC_0028,Residence
PER_0245,LOC_0045,Frequent Hideout
PER_0245,LOC_0010,Frequent Hideout
PER_0246,LOC_0080,Meeting Point
PER_0246,LOC_0009,Meeting Point
PER_0247,LOC_0122,Meeting Point
PER_0247,LOC_0042,Frequent Hideout
PER_0247,LOC_0030,Residence
PER_0248,LOC_0050,Residence
PER_0248,LOC_0061,Frequent Hideout
PER_0248,LOC_0060,Meeting Point
PER_0249,LOC_0038,Spotted
PER_0249,LOC_0029,Frequent Hideout
PER_0249,LOC_0001,Residence
PER_0250,LOC_0022,Frequent Hideout
PER_0250,LOC_0041,Meeting Point
PER_0251,LOC_0015,Frequent Hideout
PER_0252,LOC_0131,Frequent Hideout
PER_0253,LOC_0119,Frequent Hideout
PER_0253,LOC_0114,Meeting Point
PER_0253,LOC_0072,Residence
PER_0254,LOC_0074,Spotted
PER_0254,LOC_0144,Meeting Point
PER_0255,LOC_0139,Frequent Hideout
PER_0255,LOC_0138,Frequent Hideout
PER_0255,LOC_0114,Residence
PER_0256,LOC_0050,Frequent Hideout
PER_0256,LOC_0039,Residence
PER_0257,LOC_0043,Meeting Point
PER_0258,LOC_0142,Spotted
PER_0258,LOC_0014,Meeting Point
PER_0258,LOC_0075,Meeting Point
PER_0259,LOC_0129,Spotted
PER_0259,LOC_0149,Frequent Hideout
PER_0260,LOC_0070,Residence
PER_0260,LOC_0126,Meeting Point
PER_0260,LOC_0105,Residence
PER_0261,LOC_0110,Frequent Hideout
PER_0261,LOC_0068,Spotted
PER_0261,LOC_0113,Spotted
PER_0262,LOC_0093,Meeting Point
PER_0263,LOC_0116,Meeting Point
PER_0264,LOC_0065,Spotted
PER_0264,LOC_0121,Residence
PER_0264,LOC_0127,Meeting Point
PER_0265,LOC_0070,Meeting Point
PER_0266,LOC_0123,Meeting Point
PER_0266,LOC_0120,Residence
PER_0267,LOC_0023,Meeting Point
PER_0267,LOC_0037,Frequent Hideout
PER_0268,LOC_0079,Residence
PER_0268,LOC_0040,Frequent Hideout
PER_0268,LOC_0103,Frequent Hideout
PER_0269,LOC_0019,Spotted
PER_0269,LOC_0097,Residence
PER_0270,LOC_0007,Spotted
PER_0270,LOC_0001,Frequent Hideout
PER_0271,LOC_0020,Meeting Point
PER_0271,LOC_0133,Residence
PER_0272,LOC_0100,Residence
PER_0272,LOC_0102,Frequent Hideout
PER_0273,LOC_0103,Meeting Point
PER_0274,LOC_0121,Spotted
PER_0274,LOC_0148,Residence
PER_0275,LOC_0120,Frequent Hideout
PER_0276,LOC_0045,Spotted
PER_0277,LOC_0143,Spotted
PER_0278,LOC_0096,Spotted
PER_0279,LOC_0103,Residence
PER_0280,LOC_0148,Residence
PER_0281,LOC_0143,Meeting Point
PER_0281,LOC_0067,Residence
PER_0281,LOC_0006,Residence
PER_0282,LOC_0001,Meeting Point
PER_0282,LOC_0132,Meeting Point
PER_0283,LOC_0094,Frequent Hideout
PER_0284,LOC_0123,Meeting Point
PER_0285,LOC_0027,Spotted
PER_0285,LOC_0015,Residence
PER_0285,LOC_0121,Spotted
PER_0286,LOC_0058,Meeting Point
PER_0287,LOC_0149,Meeting Point
PER_0287,LOC_0096,Meeting Point
PER_0287,LOC_0114,Frequent Hideout
PER_0288,LOC_0076,Residence
PER_0288,LOC_0106,Spotted
PER_0288,LOC_0022,Residence
PER_0289,LOC_0009,Residence
PER_0290,LOC_0121,Residence
PER_0291,LOC_0128,Spotted
PER_0292,LOC_0046,Residence
PER_0293,LOC_0013,Spotted
PER_0293,LOC_0039,Spotted
PER_0294,LOC_0122,Frequent Hideout
PER_0294,LOC_0042,Residence
PER_0294,LOC_0059,Residence
PER_0295,LOC_0045,Meeting Point
PER_0296,LOC_0122,Meeting Point
PER_0296,LOC_0069,Spotted
PER_0297,LOC_0059,Meeting Point
PER_0297,LOC_0109,Spotted
PER_0297,LOC_0083,Spotted
PER_0298,LOC_0089,Frequent Hideout
PER_0299,LOC_0067,Residence
PER_0299,LOC_0043,Spotted
PER_0300,LOC_0104,Spotted
PER_0301,LOC_0090,Frequent Hideout
PER_0302,LOC_0075,Spotted
PER_0302,LOC_0011,Residence
PER_0303,LOC_0062,Meeting Point
PER_0304,LOC_0059,Meeting Point
PER_0304,LOC_0114,Meeting Point
PER_0304,LOC_0109,Meeting Point
PER_0305,LOC_0030,Spotted
PER_0305,LOC_0097,Spotted
PER_0305,LOC_0002,Meeting Point
PER_0306,LOC_0118,Spotted
PER_0307,LOC_0012,Spotted
PER_0307,LOC_0093,Meeting Point
PER_0307,LOC_0134,Residence
PER_0308,LOC_0070,Residence
PER_0308,LOC_0009,Frequent Hideout
PER_0309,LOC_0129,Frequent Hideout
PER_0309,LOC_0103,Spotted
PER_0310,LOC_0012,Spotted
PER_0310,LOC_0092,Spotted
PER_0310,LOC_0114,Spotted
PER_0311,LOC_0145,Meeting Point
PER_0312,LOC_0047,Spotted
PER_0313,LOC_0063,Frequent Hideout
PER_0313,LOC_0082,Meeting Point
PER_0314,LOC_0028,Residence
PER_0314,LOC_0025,Residence
PER_0314,LOC_0030,Spotted
PER_0315,LOC_0019,Meeting Point
PER_0315,LOC_0137,Meeting Point
PER_0315,LOC_0065,Spotted
PER_0316,LOC_0057,Frequent Hideout
PER_0316,LOC_0043,Spotted
PER_0316,LOC_0020,Meeting Point
PER_0317,LOC_0129,Frequent Hideout
PER_0318,LOC_0117,Frequent Hideout
PER_0319,LOC_0071,Residence
PER_0319,LOC_0137,Frequent Hideout
PER_0319,LOC_0003,Frequent Hideout
PER_0320,LOC_0108,Spotted
PER_0320,LOC_0068,Meeting Point
PER_0320,LOC_0040,Frequent Hideout
PER_0321,LOC_0086,Spotted
PER_0322,LOC_0140,Meeting Point
PER_0322,LOC_0042,Residence
PER_0323,LOC_0037,Meeting Point
PER_0323,LOC_0017,Spotted
PER_0323,LOC_0073,Spotted
PER_0324,LOC_0079,Residence
PER_0324,LOC_0099,Spotted
PER_0325,LOC_0150,Frequent Hideout
PER_0326,LOC_0027,Spotted
PER_0326,LOC_0124,Meeting Point
PER_0327,LOC_0021,Spotted
PER_0328,LOC_0021,Frequent Hideout
PER_0328,LOC_0118,Meeting Point
PER_0329,LOC_0138,Spotted
PER_0329,LOC_0013,Spotted
PER_0330,LOC_0047,Meeting Point
PER_0331,LOC_0110,Meeting Point
PER_0331,LOC_0129,Meeting Point
PER_0332,LOC_0085,Spotted
PER_0332,LOC_0076,Spotted
PER_0333,LOC_0067,Residence
PER_0333,LOC_0116,Frequent Hideout
PER_0333,LOC_0076,Spotted
PER_0334,LOC_0030,Frequent Hideout
PER_0335,LOC_0149,Residence
PER_0335,LOC_0055,Spotted
PER_0335,LOC_0107,Meeting Point
PER_0336,LOC_0117,Spotted
PER_0337,LOC_0017,Spotted
PER_0337,LOC_0149,Meeting Point
PER_0337,LOC_0054,Frequent Hideout
PER_0338,LOC_0007,Spotted
PER_0338,LOC_0029,Spotted
PER_0338,LOC_0040,Spotted
PER_0339,LOC_0063,Spotted
PER_0339,LOC_0109,Meeting Point
PER_0340,LOC_0018,Spotted
PER_0341,LOC_0142,Frequent Hideout
PER_0341,LOC_0103,Frequent Hideout
PER_0342,LOC_0062,Residence
PER_0342,LOC_0016,Meeting Point
PER_0342,LOC_0120,Spotted
PER_0343,LOC_0065,Spotted
PER_0343,LOC_0133,Frequent Hideout
PER_0343,LOC_0008,Residence
PER_0344,LOC_0009,Frequent Hideout
PER_0344,LOC_0034,Meeting Point
PER_0345,LOC_0077,Residence
PER_0345,LOC_0062,Frequent Hideout
PER_0345,LOC_0064,Meeting Point
PER_0346,LOC_0046,Meeting Point
PER_0346,LOC_0126,Frequent Hideout
PER_0346,LOC_0018,Spotted
PER_0347,LOC_0117,Meeting Point
PER_0347,LOC_0091,Frequent Hideout
PER_0348,LOC_0027,Frequent Hideout
PER_0349,LOC_0020,Residence
PER_0349,LOC_0054,Meeting Point
PER_0349,LOC_0140,Frequent Hideout
PER_0350,LOC_0125,Meeting Point
PER_0350,LOC_0139,Meeting Point
PER_0350,LOC_0013,Residence
PER_0351,LOC_0077,Spotted
PER_0351,LOC_0089,Meeting Point
PER_0352,LOC_0060,Meeting Point
PER_0352,LOC_0091,Spotted
PER_0353,LOC_0076,Residence
PER_0353,LOC_0021,Frequent Hideout
PER_0353,LOC_0134,Frequent Hideout
PER_0354,LOC_0036,Frequent Hideout
PER_0354,LOC_0020,Meeting Point
PER_0355,LOC_0150,Spotted
PER_0355,LOC_0011,Spotted
PER_0356,LOC_0135,Frequent Hideout
PER_0356,LOC_0080,Frequent Hideout
PER_0357,LOC_0137,Residence
PER_0357,LOC_0074,Spotted
PER_0357,LOC_0115,Frequent Hideout
PER_0358,LOC_0063,Residence
PER_0359,LOC_0057,Meeting Point
PER_0359,LOC_0043,Residence
PER_0359,LOC_0139,Frequent Hideout
PER_0360,LOC_0041,Residence
PER_0361,LOC_0111,Meeting Point
PER_0362,LOC_0112,Meeting Point
PER_0362,LOC_0076,Meeting Point
PER_0362,LOC_0033,Meeting Point
PER_0363,LOC_0110,Spotted
PER_0364,LOC_0121,Frequent Hideout
PER_0365,LOC_0119,Frequent Hideout
PER_0365,LOC_0097,Frequent Hideout
PER_0365,LOC_0008,Residence
PER_0366,LOC_0124,Frequent Hideout
PER_0366,LOC_0115,Spotted
