person_id,vehicle_id,ownership_type
PER_0880,VEH_0677,Owner
PER_0440,VEH_0417,Spotted In
PER_0283,VEH_0669,Owner
PER_0635,VEH_0295,Owner
PER_0555,VEH_0168,Owner
PER_0183,VEH_0198,Spotted In
PER_0533,VEH_0795,Owner
PER_0778,VEH_0054,Owner
PER_0922,VEH_0221,Spotted In
PER_0779,VEH_0604,Owner
PER_0994,VEH_0259,Driver
PER_0530,VEH_0389,Owner
PER_0861,VEH_0411,Spotted In
PER_0660,VEH_0029,Driver
PER_0345,VEH_0580,Driver
PER_0679,VEH_0725,Owner
PER_0585,VEH_0697,Owner
PER_0488,VEH_0409,Spotted In
PER_0279,VEH_0353,Spotted In
PER_0451,VEH_0134,Owner
PER_0950,VEH_0350,Driver
PER_0445,VEH_0551,Driver
PER_0359,VEH_0331,Owner
PER_0389,VEH_0614,Driver
PER_0799,VEH_0093,Owner
PER_0327,VEH_0518,Driver
PER_0597,VEH_0249,Driver
PER_0038,VEH_0733,Owner
PER_0889,VEH_0034,Driver
PER_0020,VEH_0272,Driver
PER_0371,VEH_0544,Spotted In
PER_0334,VEH_0345,Driver
PER_0311,VEH_0545,Driver
PER_0743,VEH_0799,Driver
PER_0628,VEH_0252,Owner
PER_0270,VEH_0120,Spotted In
PER_0930,VEH_0647,Spotted In
PER_0864,VEH_0011,Driver
PER_0726,VEH_0171,Driver
PER_0216,VEH_0359,Driver
PER_0654,VEH_0147,Spotted In
PER_0314,VEH_0007,Driver
PER_0228,VEH_0254,Driver
PER_0785,VEH_0421,Driver
PER_0443,VEH_0136,Driver
PER_0550,VEH_0342,Owner
PER_0483,VEH_0492,Spotted In
PER_0674,VEH_0435,Spotted In
PER_0505,VEH_0543,Spotted In
PER_0105,VEH_0458,Spotted In
PER_0842,VEH_0407,Owner
PER_0421,VEH_0696,Owner
PER_0578,VEH_0044,Owner
PER_0179,VEH_0740,Spotted In
PER_0145,VEH_0134,Owner
PER_0744,VEH_0126,Owner
PER_0897,VEH_0077,Driver
PER_0830,VEH_0036,Owner
PER_0273,VEH_0637,Spotted In
PER_0787,VEH_0334,Spotted In
PER_0822,VEH_0411,Driver
PER_0056,VEH_0214,Spotted In
PER_0499,VEH_0795,Spotted In
PER_0415,VEH_0678,Owner
PER_0711,VEH_0553,Driver
PER_0247,VEH_0580,Spotted In
PER_0306,VEH_0796,Driver
PER_0116,VEH_0164,Spotted In
PER_0355,VEH_0509,Owner
PER_0817,VEH_0717,Owner
PER_0369,VEH_0258,Owner
PER_0608,VEH_0318,Spotted In
PER_0475,VEH_0371,Driver
PER_0478,VEH_0178,Spotted In
PER_0128,VEH_0116,Driver
PER_0053,VEH_0683,Spotted In
PER_0680,VEH_0402,Driver
PER_0049,VEH_0308,Owner
PER_0113,VEH_0438,Owner
PER_0127,VEH_0241,Owner
PER_0342,VEH_0779,Owner
PER_0659,VEH_0555,Spotted In
PER_0259,VEH_0519,Owner
PER_0474,VEH_0483,Owner
PER_0466,VEH_0020,Driver
PER_0235,VEH_0081,Spotted In
PER_0295,VEH_0043,Owner
PER_0988,VEH_0540,Driver
PER_0821,VEH_0320,Driver
PER_0791,VEH_0702,Owner
PER_0780,VEH_0154,Owner
PER_0074,VEH_0151,Spotted In
PER_0676,VEH_0164,Spotted In
PER_0269,VEH_0721,Spotted In
PER_0792,VEH_0771,Owner
PER_0811,VEH_0085,Spotted In
PER_0496,VEH_0501,Driver
PER_0137,VEH_0305,Driver
PER_0178,VEH_0279,Owner
PER_0361,VEH_0408,Driver
PER_0375,VEH_0543,Driver
PER_0480,VEH_0635,Owner
PER_0513,VEH_0675,Spotted In
PER_0806,VEH_0070,Owner
PER_0411,VEH_0276,Driver
PER_0261,VEH_0426,Owner
PER_0107,VEH_0478,Driver
PER_0229,VEH_0666,Spotted In
PER_0351,VEH_0019,Owner
PER_0277,VEH_0365,Owner
PER_0664,VEH_0416,Spotted In
PER_0650,VEH_0697,Spotted In
PER_0500,VEH_0459,Driver
PER_0317,VEH_0283,Owner
PER_0098,VEH_0053,Owner
PER_0990,VEH_0739,Driver
PER_0547,VEH_0057,Driver
PER_0337,VEH_0548,Driver
PER_0820,VEH_0300,Spotted In
PER_0965,VEH_0556,Owner
PER_0479,VEH_0207,Owner
PER_0220,VEH_0587,Driver
PER_0892,VEH_0520,Driver
PER_0682,VEH_0146,Owner
PER_0322,VEH_0706,Spotted In
PER_0156,VEH_0222,Driver
PER_0244,VEH_0548,Spotted In
PER_0149,VEH_0660,Owner
PER_0761,VEH_0437,Owner
PER_0376,VEH_0091,Driver
PER_0382,VEH_0344,Driver
PER_0952,VEH_0609,Owner
PER_0566,VEH_0235,Owner
PER_0019,VEH_0411,Driver
PER_0691,VEH_0078,Driver
PER_0832,VEH_0760,Spotted In
PER_0353,VEH_0545,Driver
PER_0498,VEH_0513,Spotted In
PER_0613,VEH_0103,Spotted In
PER_0309,VEH_0650,Driver
PER_0884,VEH_0008,Owner
PER_0826,VEH_0374,Owner
PER_0944,VEH_0740,Owner
PER_0101,VEH_0580,Driver
PER_0670,VEH_0509,Spotted In
PER_0951,VEH_0495,Spotted In
PER_0979,VEH_0136,Owner
PER_0046,VEH_0633,Owner
PER_0160,VEH_0359,Owner
PER_0982,VEH_0586,Owner
PER_0763,VEH_0048,Owner
PER_0644,VEH_0576,Owner
PER_0656,VEH_0563,Spotted In
PER_0121,VEH_0739,Driver
PER_0199,VEH_0130,Owner
PER_0805,VEH_0233,Spotted In
PER_0172,VEH_0153,Spotted In
PER_0245,VEH_0461,Owner
PER_0219,VEH_0276,Spotted In
PER_0671,VEH_0663,Owner
PER_0816,VEH_0773,Driver
PER_0310,VEH_0600,Driver
PER_0455,VEH_0518,Owner
PER_0002,VEH_0608,Owner
PER_0308,VEH_0352,Spotted In
PER_0723,VEH_0647,Driver
PER_0477,VEH_0331,Owner
PER_0807,VEH_0080,Driver
PER_0258,VEH_0217,Spotted In
PER_0752,VEH_0662,Driver
PER_0819,VEH_0086,Driver
PER_0836,VEH_0616,Owner
PER_0978,VEH_0020,Driver
PER_0865,VEH_0343,Driver
PER_0751,VEH_0310,Spotted In
PER_0808,VEH_0114,Driver
PER_0605,VEH_0188,Driver
PER_0501,VEH_0575,Driver
PER_0925,VEH_0244,Spotted In
PER_0298,VEH_0422,Owner
PER_0782,VEH_0395,Owner
PER_0570,VEH_0355,Spotted In
PER_0725,VEH_0082,Spotted In
PER_0917,VEH_0559,Owner
PER_0586,VEH_0710,Owner
PER_0919,VEH_0183,Driver
PER_0043,VEH_0669,Spotted In
PER_0531,VEH_0482,Spotted In
PER_0222,VEH_0461,Owner
PER_0512,VEH_0778,Spotted In
PER_0291,VEH_0445,Spotted In
PER_0818,VEH_0473,Driver
PER_0710,VEH_0176,Driver
PER_0829,VEH_0305,Owner
PER_0126,VEH_0651,Driver
PER_0473,VEH_0203,Spotted In
PER_0027,VEH_0351,Driver
PER_0196,VEH_0638,Driver
PER_0624,VEH_0532,Driver
PER_0398,VEH_0169,Spotted In
PER_0104,VEH_0386,Driver
PER_0827,VEH_0488,Owner
PER_0080,VEH_0346,Driver
PER_0472,VEH_0771,Spotted In
PER_0357,VEH_0315,Owner
PER_0631,VEH_0531,Spotted In
PER_0032,VEH_0664,Owner
PER_0041,VEH_0161,Spotted In
PER_0108,VEH_0586,Owner
PER_0449,VEH_0782,Owner
PER_0037,VEH_0277,Spotted In
PER_0393,VEH_0663,Owner
PER_0653,VEH_0657,Driver
PER_0870,VEH_0129,Driver
PER_0747,VEH_0483,Spotted In
PER_0589,VEH_0429,Owner
PER_0035,VEH_0642,Owner
PER_0953,VEH_0739,Owner
PER_0557,VEH_0582,Driver
PER_0812,VEH_0010,Spotted In
PER_0612,VEH_0068,Driver
PER_0888,VEH_0716,Driver
PER_0542,VEH_0495,Owner
PER_0321,VEH_0490,Driver
PER_0732,VEH_0131,Driver
PER_0713,VEH_0172,Driver
PER_0905,VEH_0392,Spotted In
PER_0957,VEH_0798,Spotted In
PER_0849,VEH_0142,Owner
PER_0943,VEH_0375,Driver
PER_0593,VEH_0609,Owner
PER_0243,VEH_0034,Owner
PER_0916,VEH_0423,Spotted In
PER_0993,VEH_0237,Owner
PER_0435,VEH_0610,Owner
PER_0685,VEH_0736,Driver
PER_0412,VEH_0645,Owner
PER_0256,VEH_0103,Spotted In
PER_0362,VEH_0341,Owner
PER_0203,VEH_0478,Owner
PER_0439,VEH_0112,Spotted In
PER_0794,VEH_0117,Driver
PER_0246,VEH_0189,Owner
PER_0377,VEH_0406,Driver
PER_0365,VEH_0068,Driver
PER_0540,VEH_0504,Driver
PER_0609,VEH_0432,Spotted In
PER_0418,VEH_0014,Owner
PER_0047,VEH_0650,Owner
PER_0639,VEH_0535,Driver
PER_0060,VEH_0129,Spotted In
PER_0772,VEH_0229,Owner
PER_0132,VEH_0338,Spotted In
PER_0759,VEH_0541,Spotted In
PER_0934,VEH_0280,Driver
PER_0552,VEH_0314,Owner
PER_0735,VEH_0162,Spotted In
PER_0967,VEH_0552,Spotted In
PER_0939,VEH_0249,Spotted In
PER_0698,VEH_0781,Driver
PER_0237,VEH_0632,Driver
PER_0995,VEH_0701,Driver
PER_0959,VEH_0711,Driver
PER_0702,VEH_0489,Owner
PER_0008,VEH_0362,Owner
PER_0077,VEH_0610,Owner
PER_0838,VEH_0173,Owner
PER_0195,VEH_0442,Owner
PER_0847,VEH_0760,Driver
PER_0755,VEH_0477,Spotted In
PER_0318,VEH_0799,Owner
PER_0169,VEH_0413,Driver
PER_0681,VEH_0011,Owner
PER_0672,VEH_0737,Owner
PER_0233,VEH_0147,Spotted In
PER_0637,VEH_0577,Owner
PER_0793,VEH_0589,Owner
PER_0231,VEH_0721,Spotted In
PER_0632,VEH_0057,Driver
PER_0492,VEH_0308,Driver
PER_0424,VEH_0417,Owner
PER_0453,VEH_0661,Driver
PER_0960,VEH_0309,Owner
PER_0275,VEH_0463,Spotted In
PER_0850,VEH_0501,Owner
PER_0891,VEH_0756,Spotted In
PER_0201,VEH_0333,Driver
PER_0012,VEH_0267,Spotted In
PER_0781,VEH_0054,Spotted In
PER_0876,VEH_0291,Owner
PER_0234,VEH_0657,Owner
PER_0373,VEH_0128,Driver
PER_0986,VEH_0635,Driver
PER_0627,VEH_0614,Owner
PER_0946,VEH_0742,Spotted In
PER_0400,VEH_0768,Owner
PER_0026,VEH_0753,Driver
PER_0526,VEH_0454,Driver
PER_0803,VEH_0275,Spotted In
PER_0748,VEH_0231,Spotted In
PER_0186,VEH_0202,Driver
PER_0426,VEH_0237,Spotted In
PER_0894,VEH_0589,Driver
PER_0810,VEH_0602,Owner
PER_0271,VEH_0284,Driver
PER_0070,VEH_0218,Spotted In
PER_0802,VEH_0797,Spotted In
PER_0519,VEH_0605,Owner
PER_0536,VEH_0706,Driver
PER_0561,VEH_0179,Spotted In
PER_0855,VEH_0481,Spotted In
PER_0750,VEH_0711,Owner
PER_0091,VEH_0343,Driver
PER_0130,VEH_0203,Owner
PER_0604,VEH_0524,Owner
PER_0675,VEH_0227,Owner
PER_0171,VEH_0021,Driver
PER_0078,VEH_0239,Driver
PER_0601,VEH_0349,Owner
PER_0611,VEH_0645,Spotted In
PER_0331,VEH_0214,Owner
PER_0913,VEH_0186,Owner
PER_0387,VEH_0434,Driver
PER_0886,VEH_0104,Owner
PER_0111,VEH_0157,Driver
PER_0607,VEH_0777,Driver
PER_0151,VEH_0260,Owner
PER_0776,VEH_0649,Spotted In
PER_0815,VEH_0552,Driver
PER_0404,VEH_0196,Spotted In
PER_0831,VEH_0470,Owner
PER_0463,VEH_0057,Owner
PER_0538,VEH_0236,Driver
PER_0999,VEH_0046,Driver
PER_0534,VEH_0075,Driver
PER_0738,VEH_0050,Owner
PER_0623,VEH_0255,Owner
PER_0556,VEH_0335,Owner
PER_0737,VEH_0030,Driver
PER_0325,VEH_0726,Owner
PER_0287,VEH_0375,Driver
PER_0294,VEH_0333,Spotted In
PER_0079,VEH_0511,Owner
PER_0893,VEH_0602,Driver
PER_0100,VEH_0650,Spotted In
PER_0409,VEH_0054,Driver
PER_0987,VEH_0156,Owner
PER_0720,VEH_0664,Spotted In
PER_0798,VEH_0692,Driver
PER_0971,VEH_0350,Driver
PER_0436,VEH_0313,Owner
PER_0392,VEH_0081,Spotted In
PER_0464,VEH_0636,Owner
PER_0652,VEH_0381,Driver
PER_0176,VEH_0090,Owner
PER_0941,VEH_0329,Owner
PER_0594,VEH_0523,Owner
PER_0775,VEH_0498,Spotted In
PER_0868,VEH_0078,Spotted In
PER_0579,VEH_0094,Owner
PER_0097,VEH_0751,Driver
PER_0262,VEH_0022,Driver
PER_0010,VEH_0733,Spotted In
PER_0887,VEH_0229,Spotted In
PER_0174,VEH_0706,Driver
PER_0765,VEH_0626,Driver
PER_0030,VEH_0781,Owner
PER_0106,VEH_0632,Spotted In
PER_0854,VEH_0482,Owner
PER_0423,VEH_0342,Spotted In
PER_0332,VEH_0510,Driver
PER_0330,VEH_0367,Driver
PER_0599,VEH_0125,Driver
PER_0052,VEH_0443,Owner
PER_0595,VEH_0178,Spotted In
PER_0304,VEH_0647,Spotted In
PER_0532,VEH_0135,Driver
PER_0814,VEH_0420,Owner
PER_0429,VEH_0018,Driver
PER_0370,VEH_0124,Spotted In
PER_0520,VEH_0421,Owner
PER_0263,VEH_0077,Spotted In
PER_0155,VEH_0686,Spotted In
PER_0602,VEH_0673,Driver
PER_0553,VEH_0734,Driver
PER_0573,VEH_0244,Driver
PER_0399,VEH_0135,Owner
PER_0460,VEH_0798,Owner
PER_0144,VEH_0470,Driver
PER_0442,VEH_0075,Driver
PER_0255,VEH_0043,Driver
PER_0989,VEH_0158,Owner
PER_0134,VEH_0322,Spotted In
PER_0615,VEH_0576,Spotted In
PER_0344,VEH_0395,Spotted In
PER_0069,VEH_0368,Spotted In
PER_0572,VEH_0668,Driver
PER_0015,VEH_0610,Driver
PER_0039,VEH_0472,Owner
PER_0504,VEH_0314,Owner
PER_0339,VEH_0703,Owner
PER_1000,VEH_0710,Driver
PER_0125,VEH_0025,Spotted In
PER_0102,VEH_0044,Spotted In
PER_0454,VEH_0784,Spotted In
PER_0166,VEH_0039,Owner
PER_0603,VEH_0046,Owner
PER_0031,VEH_0292,Driver
PER_0973,VEH_0751,Owner
PER_0057,VEH_0052,Spotted In
PER_0095,VEH_0222,Spotted In
PER_0227,VEH_0153,Driver
PER_0087,VEH_0526,Spotted In
PER_0278,VEH_0513,Spotted In
PER_0545,VEH_0101,Spotted In
PER_0200,VEH_0609,Owner
PER_0006,VEH_0040,Driver
PER_0651,VEH_0401,Spotted In
PER_0001,VEH_0118,Driver
PER_0733,VEH_0249,Spotted In
PER_0899,VEH_0536,Owner
PER_0470,VEH_0418,Spotted In
PER_0617,VEH_0485,Spotted In
PER_0150,VEH_0549,Spotted In
PER_0240,VEH_0361,Owner
PER_0248,VEH_0541,Spotted In
PER_0024,VEH_0362,Driver
PER_0942,VEH_0611,Owner
PER_0515,VEH_0359,Spotted In
PER_0546,VEH_0037,Spotted In
PER_0797,VEH_0606,Driver
PER_0621,VEH_0343,Driver
PER_0507,VEH_0777,Spotted In
PER_0431,VEH_0550,Owner
PER_0933,VEH_0390,Driver
PER_0795,VEH_0181,Spotted In
PER_0590,VEH_0036,Owner
PER_0122,VEH_0491,Owner
PER_0937,VEH_0732,Driver
PER_0239,VEH_0161,Owner
PER_0194,VEH_0742,Spotted In
PER_0491,VEH_0568,Owner
PER_0873,VEH_0690,Spotted In
PER_0695,VEH_0298,Driver
PER_0192,VEH_0159,Spotted In
PER_0693,VEH_0198,Driver
PER_0487,VEH_0216,Driver
PER_0890,VEH_0431,Driver
PER_0335,VEH_0019,Driver
PER_0410,VEH_0529,Owner
PER_0509,VEH_0745,Spotted In
PER_0034,VEH_0730,Owner
PER_0326,VEH_0547,Owner
PER_0214,VEH_0051,Driver
PER_0446,VEH_0619,Driver
PER_0961,VEH_0533,Spotted In
PER_0862,VEH_0599,Spotted In
PER_0076,VEH_0584,Driver
PER_0022,VEH_0106,Spotted In
PER_0955,VEH_0262,Driver
PER_0523,VEH_0291,Spotted In
PER_0706,VEH_0562,Owner
PER_0265,VEH_0422,Driver
PER_0434,VEH_0082,Driver
PER_0288,VEH_0397,Driver
PER_0560,VEH_0270,Spotted In
PER_0739,VEH_0037,Driver
PER_0154,VEH_0389,Spotted In
PER_0568,VEH_0528,Spotted In
PER_0257,VEH_0428,Driver
PER_0441,VEH_0382,Owner
PER_0770,VEH_0575,Driver
PER_0114,VEH_0782,Driver
PER_0926,VEH_0104,Owner
PER_0789,VEH_0436,Driver
PER_0462,VEH_0363,Driver
PER_0083,VEH_0047,Driver
PER_0626,VEH_0685,Spotted In
PER_0153,VEH_0375,Driver
PER_0336,VEH_0213,Driver
PER_0840,VEH_0255,Owner
PER_0206,VEH_0516,Owner
PER_0634,VEH_0641,Spotted In
PER_0863,VEH_0450,Owner
PER_0476,VEH_0603,Owner
PER_0432,VEH_0017,Spotted In
PER_0378,VEH_0034,Owner
PER_0701,VEH_0358,Spotted In
PER_0302,VEH_0355,Driver
PER_0528,VEH_0340,Owner
PER_0712,VEH_0246,Driver
PER_0783,VEH_0721,Driver
PER_0722,VEH_0494,Owner
PER_0837,VEH_0019,Spotted In
PER_0638,VEH_0205,Owner
PER_0119,VEH_0388,Driver
PER_0312,VEH_0705,Spotted In
PER_0350,VEH_0493,Owner
PER_0011,VEH_0607,Owner
PER_0379,VEH_0426,Owner
PER_0129,VEH_0381,Driver
PER_0292,VEH_0561,Driver
PER_0996,VEH_0690,Owner
PER_0290,VEH_0013,Owner
PER_0250,VEH_0148,Driver
PER_0548,VEH_0681,Owner
PER_0592,VEH_0142,Driver
PER_0118,VEH_0298,Driver
PER_0848,VEH_0329,Owner
PER_0984,VEH_0674,Owner
PER_0173,VEH_0351,Driver
PER_0425,VEH_0605,Owner
PER_0059,VEH_0520,Spotted In
PER_0790,VEH_0738,Owner
PER_0985,VEH_0682,Spotted In
PER_0028,VEH_0601,Spotted In
PER_0064,VEH_0214,Spotted In
PER_0839,VEH_0508,Driver
PER_0036,VEH_0647,Driver
PER_0620,VEH_0243,Spotted In
PER_0516,VEH_0523,Driver
PER_0428,VEH_0139,Driver
PER_0719,VEH_0387,Owner
PER_0760,VEH_0402,Owner
PER_0204,VEH_0014,Owner
PER_0420,VEH_0791,Driver
PER_0073,VEH_0255,Spotted In
PER_0297,VEH_0226,Spotted In
PER_0541,VEH_0061,Owner
PER_0238,VEH_0031,Spotted In
PER_0910,VEH_0082,Driver
PER_0596,VEH_0229,Driver
PER_0976,VEH_0162,Spotted In
PER_0090,VEH_0315,Spotted In
PER_0061,VEH_0232,Owner
PER_0537,VEH_0504,Spotted In
PER_0777,VEH_0732,Driver
PER_0962,VEH_0109,Driver
PER_0866,VEH_0582,Spotted In
PER_0764,VEH_0660,Driver
PER_0486,VEH_0322,Driver
PER_0872,VEH_0424,Driver
PER_0940,VEH_0157,Spotted In
PER_0598,VEH_0635,Driver
PER_0636,VEH_0710,Owner
PER_0687,VEH_0368,Owner
PER_0072,VEH_0535,Spotted In
PER_0323,VEH_0387,Owner
PER_0058,VEH_0149,Driver
PER_0217,VEH_0159,Driver
PER_0293,VEH_0797,Driver
PER_0013,VEH_0648,Driver
PER_0282,VEH_0058,Owner
PER_0875,VEH_0170,Owner
PER_0724,VEH_0256,Owner
PER_0188,VEH_0133,Owner
