case_id,person_id,involvement_type
CASE_0034,PER_0896,Prime Suspect
CASE_0035,PER_0262,Witness
CASE_0035,PER_0996,Witness
CASE_0035,PER_0384,Prime Suspect
CASE_0035,PER_0854,Accused
CASE_0036,PER_0779,Co-conspirator
CASE_0036,PER_0553,Prime Suspect
CASE_0036,PER_0742,Co-conspirator
CASE_0036,PER_0512,Accused
CASE_0037,PER_0519,Prime Suspect
CASE_0037,PER_0371,Co-conspirator
CASE_0037,PER_0904,Prime Suspect
CASE_0037,PER_0240,Witness
CASE_0037,PER_0643,Accused
CASE_0038,PER_0213,Accused
CASE_0038,PER_0726,Prime Suspect
CASE_0038,PER_0265,Accused
CASE_0038,PER_0703,Accused
CASE_0038,PER_0586,Accused
CASE_0039,PER_0591,Accused
CASE_0039,PER_0891,Prime Suspect
CASE_0039,PER_0600,Co-conspirator
CASE_0040,PER_0805,Prime Suspect
CASE_0040,PER_0025,Accused
CASE_0040,PER_0015,Accused
CASE_0040,PER_0473,Prime Suspect
CASE_0040,PER_0716,Co-conspirator
CASE_0040,PER_0842,Co-conspirator
CASE_0041,PER_0265,Witness
CASE_0041,PER_0946,Prime Suspect
CASE_0041,PER_0800,Co-conspirator
CASE_0041,PER_0360,Co-conspirator
CASE_0041,PER_0430,Prime Suspect
CASE_0041,PER_0465,Witness
CASE_0042,PER_0400,Accused
CASE_0042,PER_0008,Prime Suspect
CASE_0042,PER_0304,Prime Suspect
CASE_0042,PER_0324,Witness
CASE_0042,PER_0428,Co-conspirator
CASE_0043,PER_0451,Witness
CASE_0043,PER_0669,Witness
CASE_0043,PER_0411,Co-conspirator
CASE_0043,PER_0504,Witness
CASE_0044,PER_0395,Witness
CASE_0044,PER_0411,Prime Suspect
CASE_0044,PER_0882,Co-conspirator
CASE_0044,PER_0258,Accused
CASE_0044,PER_0493,Prime Suspect
CASE_0045,PER_0688,Accused
CASE_0045,PER_0756,Witness
CASE_0045,PER_0951,Co-conspirator
CASE_0045,PER_0351,Co-conspirator
CASE_0045,PER_0871,Co-conspirator
CASE_0045,PER_0657,Accused
CASE_0046,PER_0503,Prime Suspect
CASE_0046,PER_0373,Co-conspirator
CASE_0047,PER_0639,Witness
CASE_0047,PER_0551,Accused
CASE_0047,PER_0532,Witness
CASE_0047,PER_0507,Co-conspirator
CASE_0047,PER_0542,Co-conspirator
CASE_0047,PER_0138,Co-conspirator
CASE_0048,PER_0171,Prime Suspect
CASE_0048,PER_0006,Co-conspirator
CASE_0048,PER_0442,Prime Suspect
CASE_0049,PER_0912,Witness
CASE_0049,PER_0622,Accused
CASE_0049,PER_0175,Witness
CASE_0049,PER_0610,Co-conspirator
CASE_0049,PER_0847,Prime Suspect
CASE_0050,PER_0390,Witness
CASE_0050,PER_0820,Accused
CASE_0051,PER_0425,Accused
CASE_0051,PER_0882,Prime Suspect
CASE_0051,PER_0984,Accused
CASE_0051,PER_0443,Accused
CASE_0052,PER_0264,Prime Suspect
CASE_0052,PER_0254,Accused
CASE_0053,PER_0558,Accused
CASE_0053,PER_0714,Accused
CASE_0054,PER_0841,Prime Suspect
CASE_0054,PER_0021,Prime Suspect
CASE_0054,PER_0919,Prime Suspect
CASE_0055,PER_0270,Co-conspirator
CASE_0055,PER_0685,Co-conspirator
CASE_0055,PER_0022,Witness
CASE_0055,PER_0411,Co-conspirator
CASE_0055,PER_0363,Co-conspirator
CASE_0055,PER_0258,Accused
CASE_0056,PER_0365,Prime Suspect
CASE_0056,PER_0158,Co-conspirator
CASE_0056,PER_0584,Prime Suspect
CASE_0056,PER_0403,Co-conspirator
CASE_0057,PER_0422,Co-conspirator
CASE_0057,PER_0624,Co-conspirator
CASE_0057,PER_0469,Witness
CASE_0058,PER_0217,Accused
CASE_0058,PER_0325,Witness
CASE_0058,PER_0075,Prime Suspect
CASE_0058,PER_0960,Accused
CASE_0058,PER_0464,Co-conspirator
CASE_0058,PER_0981,Co-conspirator
CASE_0059,PER_0979,Accused
CASE_0059,PER_0435,Accused
CASE_0059,PER_0936,Co-conspirator
CASE_0059,PER_0633,Witness
CASE_0059,PER_0443,Co-conspirator
CASE_0060,PER_0476,Accused
CASE_0060,PER_0670,Co-conspirator
CASE_0061,PER_0926,Prime Suspect
CASE_0061,PER_0048,Witness
CASE_0061,PER_0710,Accused
CASE_0061,PER_0126,Co-conspirator
CASE_0061,PER_0615,Witness
CASE_0062,PER_0314,Accused
CASE_0062,PER_0650,Accused
CASE_0062,PER_0482,Witness
CASE_0062,PER_0432,Co-conspirator
CASE_0062,PER_0721,Accused
CASE_0062,PER_0972,Witness
CASE_0063,PER_0881,Witness
CASE_0063,PER_0371,Accused
CASE_0063,PER_0857,Witness
CASE_0063,PER_0120,Witness
CASE_0063,PER_0497,Prime Suspect
CASE_0063,PER_0990,Prime Suspect
CASE_0064,PER_0135,Witness
CASE_0064,PER_0671,Prime Suspect
CASE_0065,PER_0778,Accused
CASE_0065,PER_0060,Prime Suspect
CASE_0065,PER_0696,Accused
CASE_0065,PER_0806,Witness
CASE_0065,PER_0636,Accused
CASE_0065,PER_0321,Prime Suspect
CASE_0066,PER_0128,Co-conspirator
CASE_0066,PER_0795,Prime Suspect
CASE_0066,PER_0882,Prime Suspect
CASE_0067,PER_0921,Witness
CASE_0067,PER_0361,Accused
CASE_0067,PER_0749,Co-conspirator
CASE_0067,PER_0816,Co-conspirator
CASE_0068,PER_0706,Witness
CASE_0068,PER_0188,Co-conspirator
CASE_0068,PER_0155,Witness
CASE_0068,PER_0037,Witness
CASE_0068,PER_0097,Accused
CASE_0069,PER_0617,Co-conspirator
CASE_0069,PER_0218,Prime Suspect
CASE_0069,PER_0695,Accused
CASE_0070,PER_0194,Accused
CASE_0070,PER_0750,Co-conspirator
CASE_0070,PER_0135,Accused
CASE_0070,PER_0393,Prime Suspect
CASE_0071,PER_0015,Witness
CASE_0071,PER_0241,Co-conspirator
CASE_0071,PER_0055,Co-conspirator
CASE_0071,PER_0659,Co-conspirator
CASE_0072,PER_0689,Accused
CASE_0072,PER_0281,Prime Suspect
CASE_0073,PER_0906,Co-conspirator
CASE_0073,PER_0290,Accused
CASE_0073,PER_0542,Co-conspirator
CASE_0074,PER_0500,Co-conspirator
CASE_0074,PER_0287,Prime Suspect
CASE_0075,PER_0218,Prime Suspect
CASE_0075,PER_0756,Witness
CASE_0075,PER_0888,Prime Suspect
CASE_0075,PER_0253,Accused
CASE_0075,PER_0965,Co-conspirator
CASE_0075,PER_0189,Co-conspirator
CASE_0076,PER_0310,Accused
CASE_0076,PER_0951,Prime Suspect
CASE_0077,PER_0930,Prime Suspect
CASE_0077,PER_0635,Witness
CASE_0078,PER_0099,Co-conspirator
CASE_0078,PER_0686,Accused
CASE_0078,PER_0571,Accused
CASE_0078,PER_0179,Witness
CASE_0078,PER_0242,Witness
CASE_0079,PER_0502,Co-conspirator
CASE_0079,PER_0447,Co-conspirator
CASE_0079,PER_0364,Witness
CASE_0080,PER_0067,Witness
CASE_0080,PER_0449,Accused
CASE_0080,PER_0131,Co-conspirator
CASE_0080,PER_0455,Co-conspirator
CASE_0080,PER_0366,Co-conspirator
CASE_0081,PER_0949,Accused
CASE_0081,PER_0110,Witness
CASE_0081,PER_0296,Witness
CASE_0081,PER_0480,Witness
CASE_0081,PER_0961,Prime Suspect
CASE_0081,PER_0100,Co-conspirator
CASE_0082,PER_0595,Accused
CASE_0082,PER_0223,Co-conspirator
CASE_0082,PER_0818,Accused
CASE_0083,PER_0725,Prime Suspect
CASE_0083,PER_0053,Co-conspirator
CASE_0083,PER_0853,Prime Suspect
CASE_0083,PER_0143,Prime Suspect
CASE_0083,PER_0985,Accused
CASE_0084,PER_0851,Accused
CASE_0084,PER_0875,Prime Suspect
CASE_0084,PER_0228,Witness
CASE_0084,PER_0652,Accused
CASE_0085,PER_0634,Co-conspirator
CASE_0085,PER_0876,Accused
CASE_0085,PER_0759,Co-conspirator
CASE_0085,PER_0553,Witness
CASE_0085,PER_0996,Witness
CASE_0086,PER_0221,Prime Suspect
CASE_0086,PER_0722,Accused
CASE_0086,PER_0906,Prime Suspect
CASE_0087,PER_0461,Prime Suspect
CASE_0087,PER_0942,Accused
CASE_0087,PER_0115,Witness
CASE_0088,PER_0614,Co-conspirator
CASE_0088,PER_0249,Co-conspirator
CASE_0088,PER_0581,Witness
CASE_0088,PER_0714,Prime Suspect
CASE_0089,PER_0822,Prime Suspect
CASE_0089,PER_0186,Witness
CASE_0089,PER_0087,Accused
CASE_0089,PER_0809,Accused
CASE_0090,PER_0854,Witness
CASE_0090,PER_0949,Co-conspirator
CASE_0091,PER_0091,Co-conspirator
CASE_0091,PER_0047,Accused
CASE_0091,PER_0004,Witness
CASE_0091,PER_0735,Co-conspirator
CASE_0091,PER_0283,Accused
CASE_0091,PER_0855,Witness
CASE_0092,PER_0298,Accused
CASE_0092,PER_0258,Witness
CASE_0092,PER_0216,Prime Suspect
CASE_0092,PER_0844,Co-conspirator
CASE_0093,PER_0161,Prime Suspect
CASE_0093,PER_0707,Prime Suspect
CASE_0093,PER_0779,Witness
CASE_0094,PER_0170,Witness
CASE_0094,PER_0942,Witness
CASE_0094,PER_0911,Accused
CASE_0095,PER_0161,Witness
CASE_0095,PER_0473,Co-conspirator
CASE_0095,PER_0521,Witness
CASE_0095,PER_0049,Prime Suspect
CASE_0096,PER_0617,Accused
CASE_0096,PER_0938,Accused
CASE_0097,PER_0769,Prime Suspect
CASE_0097,PER_0382,Prime Suspect
CASE_0097,PER_0224,Witness
CASE_0097,PER_0041,Accused
CASE_0097,PER_0015,Accused
CASE_0097,PER_0045,Co-conspirator
CASE_0098,PER_0749,Witness
CASE_0098,PER_0882,Co-conspirator
CASE_0098,PER_0435,Co-conspirator
CASE_0098,PER_0661,Witness
CASE_0098,PER_0981,Co-conspirator
CASE_0098,PER_0488,Witness
CASE_0099,PER_0491,Co-conspirator
CASE_0099,PER_0170,Witness
CASE_0100,PER_0248,Co-conspirator
CASE_0100,PER_0297,Witness
CASE_0101,PER_0226,Co-conspirator
CASE_0101,PER_0189,Witness
CASE_0101,PER_0729,Co-conspirator
CASE_0102,PER_0877,Prime Suspect
CASE_0102,PER_0885,Co-conspirator
CASE_0102,PER_0542,Co-conspirator
CASE_0102,PER_0292,Witness
CASE_0102,PER_0961,Accused
CASE_0103,PER_0124,Accused
CASE_0103,PER_0477,Co-conspirator
CASE_0103,PER_0321,Prime Suspect
CASE_0103,PER_0507,Co-conspirator
CASE_0104,PER_0807,Witness
CASE_0104,PER_0747,Witness
CASE_0105,PER_0691,Co-conspirator
CASE_0105,PER_0396,Witness
CASE_0105,PER_0368,Co-conspirator
CASE_0105,PER_0721,Witness
CASE_0105,PER_0837,Prime Suspect
CASE_0105,PER_0580,Prime Suspect
CASE_0106,PER_0723,Co-conspirator
CASE_0106,PER_0225,Accused
CASE_0106,PER_0459,Accused
CASE_0107,PER_0864,Accused
CASE_0107,PER_0405,Prime Suspect
CASE_0107,PER_0755,Prime Suspect
CASE_0107,PER_0279,Accused
CASE_0107,PER_0529,Accused
CASE_0107,PER_0263,Accused
CASE_0108,PER_0095,Co-conspirator
CASE_0108,PER_0750,Witness
CASE_0108,PER_0272,Co-conspirator
CASE_0108,PER_0347,Accused
CASE_0109,PER_0657,Witness
CASE_0109,PER_0134,Prime Suspect
CASE_0109,PER_0236,Co-conspirator
CASE_0109,PER_0497,Prime Suspect
CASE_0109,PER_0407,Co-conspirator
CASE_0110,PER_0959,Accused
CASE_0110,PER_0440,Prime Suspect
CASE_0110,PER_0315,Accused
CASE_0111,PER_0867,Witness
CASE_0111,PER_0484,Accused
CASE_0111,PER_0048,Accused
CASE_0111,PER_0559,Accused
CASE_0111,PER_0080,Prime Suspect
CASE_0111,PER_0226,Prime Suspect
CASE_0112,PER_0798,Co-conspirator
CASE_0112,PER_0206,Accused
CASE_0112,PER_0371,Accused
CASE_0112,PER_0654,Accused
CASE_0112,PER_0776,Co-conspirator
CASE_0112,PER_0153,Prime Suspect
CASE_0113,PER_0734,Co-conspirator
CASE_0113,PER_0690,Witness
CASE_0114,PER_0571,Witness
CASE_0114,PER_0267,Witness
CASE_0114,PER_0027,Co-conspirator
CASE_0115,PER_0618,Witness
CASE_0115,PER_0056,Accused
CASE_0115,PER_0944,Co-conspirator
CASE_0116,PER_0413,Prime Suspect
CASE_0116,PER_0469,Witness
CASE_0116,PER_0704,Accused
CASE_0116,PER_0639,Co-conspirator
CASE_0116,PER_0025,Co-conspirator
CASE_0117,PER_0442,Accused
CASE_0117,PER_0402,Witness
CASE_0117,PER_0387,Prime Suspect
CASE_0117,PER_0623,Co-conspirator
CASE_0117,PER_0317,Accused
CASE_0118,PER_0419,Co-conspirator
CASE_0118,PER_0518,Prime Suspect
CASE_0118,PER_0163,Co-conspirator
CASE_0118,PER_0900,Co-conspirator
CASE_0118,PER_0699,Accused
CASE_0118,PER_0762,Co-conspirator
CASE_0119,PER_0170,Witness
CASE_0119,PER_0585,Witness
CASE_0119,PER_0489,Accused
CASE_0119,PER_0812,Accused
CASE_0119,PER_0189,Accused
CASE_0120,PER_0459,Witness
CASE_0120,PER_0753,Accused
CASE_0120,PER_0835,Co-conspirator
CASE_0120,PER_0163,Witness
CASE_0121,PER_0840,Prime Suspect
CASE_0121,PER_0735,Co-conspirator
CASE_0121,PER_0621,Witness
CASE_0121,PER_0729,Accused
CASE_0121,PER_0170,Accused
CASE_0121,PER_0485,Accused
CASE_0122,PER_0654,Witness
CASE_0122,PER_0258,Witness
CASE_0122,PER_0897,Witness
CASE_0122,PER_0899,Prime Suspect
CASE_0123,PER_0362,Co-conspirator
CASE_0123,PER_0103,Witness
CASE_0124,PER_0560,Witness
CASE_0124,PER_0050,Witness
CASE_0125,PER_0515,Witness
CASE_0125,PER_0834,Witness
CASE_0125,PER_0563,Accused
CASE_0126,PER_0996,Co-conspirator
CASE_0126,PER_0257,Prime Suspect
CASE_0126,PER_0619,Accused
CASE_0126,PER_0916,Co-conspirator
CASE_0127,PER_0533,Witness
CASE_0127,PER_0981,Co-conspirator
CASE_0128,PER_0820,Co-conspirator
CASE_0128,PER_0089,Prime Suspect
CASE_0128,PER_0236,Accused
CASE_0128,PER_0684,Accused
CASE_0128,PER_0307,Prime Suspect
CASE_0129,PER_0254,Accused
CASE_0129,PER_0558,Co-conspirator
CASE_0129,PER_0029,Witness
CASE_0129,PER_0125,Witness
CASE_0129,PER_0405,Prime Suspect
CASE_0129,PER_0594,Accused
CASE_0130,PER_0506,Accused
CASE_0130,PER_0989,Prime Suspect
CASE_0130,PER_0617,Prime Suspect
CASE_0131,PER_0164,Prime Suspect
CASE_0131,PER_0953,Prime Suspect
CASE_0131,PER_0819,Witness
CASE_0132,PER_0099,Co-conspirator
CASE_0132,PER_0514,Accused
CASE_0132,PER_0783,Prime Suspect
CASE_0133,PER_0643,Accused
CASE_0133,PER_0157,Prime Suspect
CASE_0134,PER_0156,Accused
CASE_0134,PER_0222,Accused
CASE_0134,PER_0075,Witness
CASE_0134,PER_0951,Accused
CASE_0135,PER_0299,Prime Suspect
CASE_0135,PER_0787,Accused
CASE_0136,PER_0172,Prime Suspect
CASE_0136,PER_0497,Accused
CASE_0137,PER_0126,Witness
CASE_0137,PER_0563,Witness
CASE_0137,PER_0610,Accused
CASE_0138,PER_0854,Accused
CASE_0138,PER_0116,Co-conspirator
CASE_0139,PER_0019,Witness
CASE_0139,PER_0920,Witness
CASE_0139,PER_0869,Co-conspirator
CASE_0139,PER_0972,Witness
CASE_0139,PER_0251,Prime Suspect
CASE_0139,PER_0101,Prime Suspect
CASE_0140,PER_0707,Prime Suspect
CASE_0140,PER_0108,Witness
CASE_0141,PER_0890,Accused
CASE_0141,PER_0351,Accused
CASE_0141,PER_0864,Co-conspirator
CASE_0141,PER_0983,Co-conspirator
CASE_0141,PER_0905,Accused
CASE_0142,PER_0224,Witness
CASE_0142,PER_0803,Prime Suspect
CASE_0142,PER_0885,Co-conspirator
CASE_0142,PER_0523,Prime Suspect
CASE_0143,PER_0292,Witness
CASE_0143,PER_0737,Prime Suspect
CASE_0143,PER_0505,Prime Suspect
CASE_0143,PER_0312,Witness
CASE_0144,PER_0920,Witness
CASE_0144,PER_0733,Prime Suspect
CASE_0145,PER_0495,Accused
CASE_0145,PER_0145,Prime Suspect
CASE_0145,PER_0546,Co-conspirator
CASE_0146,PER_0048,Accused
CASE_0146,PER_0639,Prime Suspect
CASE_0147,PER_0956,Prime Suspect
CASE_0147,PER_0745,Accused
CASE_0147,PER_0207,Accused
CASE_0147,PER_0290,Accused
CASE_0147,PER_0643,Prime Suspect
CASE_0147,PER_0731,Witness
CASE_0148,PER_0026,Accused
CASE_0148,PER_0384,Accused
CASE_0149,PER_0715,Accused
CASE_0149,PER_0078,Co-conspirator
CASE_0149,PER_0560,Accused
CASE_0149,PER_0240,Witness
CASE_0150,PER_0165,Prime Suspect
CASE_0150,PER_0370,Accused
CASE_0150,PER_0152,Prime Suspect
CASE_0150,PER_0672,Accused
CASE_0150,PER_0890,Prime Suspect
CASE_0151,PER_0448,Co-conspirator
CASE_0151,PER_0479,Co-conspirator
CASE_0152,PER_0542,Accused
CASE_0152,PER_0978,Accused
CASE_0152,PER_0928,Witness
CASE_0153,PER_0696,Prime Suspect
CASE_0153,PER_0028,Witness
CASE_0153,PER_0104,Witness
CASE_0153,PER_0768,Prime Suspect
CASE_0153,PER_0776,Prime Suspect
CASE_0154,PER_0946,Witness
CASE_0154,PER_0480,Accused
CASE_0154,PER_0814,Prime Suspect
CASE_0154,PER_0850,Accused
CASE_0154,PER_0760,Co-conspirator
CASE_0155,PER_0342,Witness
CASE_0155,PER_0194,Co-conspirator
CASE_0156,PER_0443,Prime Suspect
CASE_0156,PER_0454,Accused
CASE_0156,PER_0240,Accused
CASE_0157,PER_0630,Co-conspirator
CASE_0157,PER_0588,Prime Suspect
CASE_0158,PER_0703,Accused
CASE_0158,PER_0827,Prime Suspect
CASE_0158,PER_0954,Co-conspirator
CASE_0158,PER_0966,Prime Suspect
CASE_0158,PER_0347,Co-conspirator
CASE_0159,PER_0080,Co-conspirator
CASE_0159,PER_0623,Prime Suspect
CASE_0159,PER_0535,Prime Suspect
CASE_0160,PER_0029,Co-conspirator
CASE_0160,PER_0459,Prime Suspect
CASE_0160,PER_0331,Co-conspirator
CASE_0160,PER_0815,Co-conspirator
CASE_0161,PER_0561,Witness
CASE_0161,PER_0299,Witness
CASE_0161,PER_0423,Prime Suspect
CASE_0162,PER_0801,Co-conspirator
CASE_0162,PER_0509,Witness
CASE_0162,PER_0517,Witness
CASE_0163,PER_0504,Accused
CASE_0163,PER_0051,Prime Suspect
CASE_0163,PER_0752,Witness
CASE_0163,PER_0008,Witness
CASE_0163,PER_0573,Co-conspirator
CASE_0163,PER_0671,Co-conspirator
CASE_0164,PER_0348,Accused
CASE_0164,PER_0957,Co-conspirator
CASE_0165,PER_0736,Witness
CASE_0165,PER_0918,Accused
CASE_0165,PER_0008,Witness
CASE_0165,PER_0087,Accused
CASE_0166,PER_0657,Accused
CASE_0166,PER_0610,Accused
CASE_0166,PER_0454,Prime Suspect
CASE_0166,PER_0249,Prime Suspect
CASE_0166,PER_0953,Accused
CASE_0167,PER_0012,Prime Suspect
CASE_0167,PER_0370,Accused
CASE_0167,PER_0111,Prime Suspect
CASE_0168,PER_0262,Accused
CASE_0168,PER_0029,Witness
CASE_0168,PER_0438,Prime Suspect
CASE_0169,PER_0908,Prime Suspect
CASE_0169,PER_0633,Co-conspirator
CASE_0170,PER_0184,Prime Suspect
CASE_0170,PER_0311,Witness
CASE_0171,PER_0066,Co-conspirator
CASE_0171,PER_0068,Witness
CASE_0171,PER_0691,Prime Suspect
CASE_0171,PER_0481,Prime Suspect
CASE_0172,PER_0051,Co-conspirator
CASE_0172,PER_0685,Witness
CASE_0172,PER_0403,Witness
CASE_0172,PER_0279,Witness
CASE_0172,PER_0554,Accused
CASE_0173,PER_0168,Co-conspirator
CASE_0173,PER_0916,Prime Suspect
CASE_0174,PER_0756,Co-conspirator
CASE_0174,PER_0677,Prime Suspect
CASE_0174,PER_0619,Accused
CASE_0174,PER_0026,Prime Suspect
CASE_0174,PER_0316,Prime Suspect
CASE_0175,PER_0103,Co-conspirator
CASE_0175,PER_0772,Co-conspirator
CASE_0176,PER_0512,Witness
CASE_0176,PER_0815,Witness
CASE_0176,PER_0712,Prime Suspect
CASE_0176,PER_0412,Co-conspirator
CASE_0176,PER_0476,Accused
CASE_0177,PER_0579,Prime Suspect
CASE_0177,PER_0409,Witness
CASE_0177,PER_0756,Prime Suspect
CASE_0177,PER_0030,Accused
CASE_0178,PER_0461,Co-conspirator
CASE_0178,PER_0433,Co-conspirator
CASE_0179,PER_0955,Witness
CASE_0179,PER_0922,Witness
CASE_0180,PER_0133,Accused
CASE_0180,PER_0906,Accused
CASE_0181,PER_0005,Co-conspirator
CASE_0181,PER_0258,Witness
CASE_0181,PER_0721,Accused
CASE_0181,PER_0359,Witness
CASE_0181,PER_0981,Witness
CASE_0181,PER_0236,Accused
CASE_0182,PER_0883,Prime Suspect
CASE_0182,PER_0195,Co-conspirator
CASE_0182,PER_0747,Accused
CASE_0182,PER_0153,Co-conspirator
CASE_0183,PER_0578,Witness
CASE_0183,PER_0569,Accused
CASE_0183,PER_0486,Witness
CASE_0183,PER_0803,Accused
CASE_0183,PER_0242,Accused
CASE_0183,PER_0370,Accused
CASE_0184,PER_0718,Prime Suspect
CASE_0184,PER_0484,Accused
CASE_0184,PER_0914,Co-conspirator
CASE_0184,PER_0701,Prime Suspect
CASE_0185,PER_0249,Accused
CASE_0185,PER_0590,Co-conspirator
CASE_0185,PER_0516,Witness
CASE_0185,PER_0411,Co-conspirator
CASE_0185,PER_0682,Co-conspirator
CASE_0185,PER_0434,Co-conspirator
CASE_0186,PER_0694,Accused
CASE_0186,PER_0466,Co-conspirator
CASE_0186,PER_0255,Witness
CASE_0187,PER_0135,Prime Suspect
CASE_0187,PER_0728,Witness
CASE_0187,PER_0246,Witness
CASE_0187,PER_0618,Witness
CASE_0188,PER_0808,Witness
CASE_0188,PER_0995,Accused
CASE_0188,PER_0160,Co-conspirator
CASE_0189,PER_0851,Co-conspirator
CASE_0189,PER_0241,Prime Suspect
CASE_0189,PER_0878,Witness
CASE_0190,PER_0058,Witness
CASE_0190,PER_0873,Witness
CASE_0190,PER_0107,Accused
CASE_0191,PER_0277,Prime Suspect
CASE_0191,PER_0799,Co-conspirator
CASE_0191,PER_0061,Accused
CASE_0192,PER_0384,Accused
