vehicle_id,registration_number,vehicle_type,color
VEH_0046,DL12XQ8059,SUV,Black
VEH_0047,DL05YI2346,Motorcycle,Black
VEH_0048,DL07JU7387,SUV,Silver
VEH_0049,DL06YJ1693,SUV,Dark Blue
VEH_0050,DL04XV7046,Truck,Grey
VEH_0051,DL11FJ4140,Sedan,Black
VEH_0052,DL08MJ7736,Truck,Silver
VEH_0053,DL09SQ9277,Sedan,White
VEH_0054,DL12DL4955,Van,Grey
VEH_0055,DL09FI6432,SUV,Dark Blue
VEH_0056,DL10WB6569,Sedan,Silver
VEH_0057,DL11UB5773,SUV,White
VEH_0058,DL04GY6817,SUV,Grey
VEH_0059,DL05SK3001,Motorcycle,White
VEH_0060,DL03ZD2475,Sedan,Grey
VEH_0061,DL08QO3027,Van,Black
VEH_0062,DL10GH2497,SUV,Dark Blue
VEH_0063,DL04EM6292,SUV,Black
VEH_0064,DL07BX2258,Sedan,Grey
VEH_0065,DL09PY6364,Motorcycle,Black
VEH_0066,DL08QN9592,Sedan,Black
VEH_0067,DL03GA1481,Van,Black
VEH_0068,DL06YN2835,Van,White
VEH_0069,DL10QA5004,Motorcycle,Silver
VEH_0070,DL08UW9148,Truck,Silver
VEH_0071,DL10DX7807,Sedan,Grey
VEH_0072,DL11GM7027,Van,Silver
VEH_0073,DL03BC6099,Van,Black
VEH_0074,DL02QU5699,Sedan,Grey
VEH_0075,DL05HH7504,Van,Dark Blue
VEH_0076,DL06AS3282,Motorcycle,White
VEH_0077,DL03XF4532,Van,Grey
VEH_0078,DL09EC4934,Motorcycle,Silver
VEH_0079,DL06KN2257,Sedan,Silver
VEH_0080,DL01WX5816,SUV,Grey
VEH_0081,DL09NX1702,Truck,Black
VEH_0082,DL06HP7479,Motorcycle,Dark Blue
VEH_0083,DL12BQ2572,Sedan,White
VEH_0084,DL07YA1690,SUV,Black
VEH_0085,DL09GL7399,Motorcycle,Grey
VEH_0086,DL02YA7328,SUV,Dark Blue
VEH_0087,DL02KX4487,Sedan,White
VEH_0088,DL04IK6829,Sedan,Dark Blue
VEH_0089,DL09RF8147,Van,Black
VEH_0090,DL08UP7954,Van,White
VEH_0091,DL10GQ5321,Truck,Black
VEH_0092,DL02HJ1081,Van,Dark Blue
VEH_0093,DL04KJ4889,Motorcycle,Grey
VEH_0094,DL12QE7675,Sedan,White
VEH_0095,DL04UL3033,Sedan,Black
VEH_0096,DL11LO1295,Van,Black
VEH_0097,DL09LS2062,Truck,Silver
VEH_0098,DL10FA8423,Truck,Grey
VEH_0099,DL03MY7893,Van,Grey
VEH_0100,DL07YV5856,Van,Grey
VEH_0101,DL10XX8474,Sedan,Grey
VEH_0102,DL05ER6999,Van,Dark Blue
VEH_0103,DL11SH3407,Truck,Grey
VEH_0104,DL02JA9199,Truck,Grey
VEH_0105,DL10ZG3869,SUV,Black
VEH_0106,DL03YZ4654,Truck,White
VEH_0107,DL07MS1897,Motorcycle,Grey
VEH_0108,DL12AR8749,SUV,Dark Blue
VEH_0109,DL11DO7843,Sedan,Dark Blue
VEH_0110,DL03XG6070,Van,White
VEH_0111,DL09TH6337,Van,Silver
VEH_0112,DL11HQ3269,Van,Black
VEH_0113,DL05AL7676,Sedan,White
VEH_0114,DL12ST8113,Truck,Black
VEH_0115,DL09ZZ3412,Motorcycle,Grey
VEH_0116,DL06RV3402,Motorcycle,Silver
VEH_0117,DL02ZR7265,Van,Dark Blue
VEH_0118,DL06NU2192,SUV,Black
VEH_0119,DL09PZ7978,Sedan,White
VEH_0120,DL04ZQ6139,Van,Silver
VEH_0121,DL02IG5375,Motorcycle,Grey
VEH_0122,DL03HS6091,Van,Silver
VEH_0123,DL11BA3690,Motorcycle,White
VEH_0124,DL01AV9419,Motorcycle,Grey
VEH_0125,DL07MC1903,Sedan,Dark Blue
VEH_0126,DL09GC2330,SUV,Grey
VEH_0127,DL06AB2084,Motorcycle,Grey
VEH_0128,DL01TU5575,Sedan,Silver
VEH_0129,DL11TC6265,Sedan,Dark Blue
VEH_0130,DL07YF9549,SUV,Grey
VEH_0131,DL08UN3353,Sedan,Silver
VEH_0132,DL04UI5425,Sedan,Dark Blue
VEH_0133,DL08OT5612,Motorcycle,White
VEH_0134,DL01WO3289,Motorcycle,Dark Blue
VEH_0135,DL11ET3247,Truck,Black
VEH_0136,DL09ZC9062,Motorcycle,Dark Blue
VEH_0137,DL01FS2094,Truck,Black
VEH_0138,DL07QV9741,Truck,Black
VEH_0139,DL04GG8436,SUV,Black
VEH_0140,DL03KL3805,SUV,Silver
VEH_0141,DL07DO9924,Sedan,Dark Blue
VEH_0142,DL01GF2665,Sedan,Grey
VEH_0143,DL03AM2845,SUV,Dark Blue
VEH_0144,DL04QV6206,SUV,Dark Blue
VEH_0145,DL08RS6651,Motorcycle,Black
VEH_0146,DL04GO2217,Van,Silver
VEH_0147,DL05IS1805,SUV,Grey
VEH_0148,DL06BE7481,Truck,Grey
VEH_0149,DL01DN5512,Truck,Black
VEH_0150,DL04OG5098,Sedan,Dark Blue
VEH_0151,DL08RD3322,Motorcycle,Dark Blue
VEH_0152,DL11QF4058,Sedan,Black
VEH_0153,DL03UC9053,Van,Grey
VEH_0154,DL03DU4168,Truck,Grey
VEH_0155,DL07FS9947,Truck,Dark Blue
VEH_0156,DL12VT8175,SUV,Dark Blue
VEH_0157,DL04RH2883,Van,White
VEH_0158,DL09VK7691,Sedan,Silver
VEH_0159,DL04SY8366,Sedan,Dark Blue
VEH_0160,DL12SR8023,Motorcycle,Black
VEH_0161,DL08PW2000,Motorcycle,Dark Blue
VEH_0162,DL04MQ3400,Sedan,Silver
VEH_0163,DL01MR3353,Sedan,White
VEH_0164,DL03HU6722,Truck,White
VEH_0165,DL02MV6997,Sedan,Silver
VEH_0166,DL09OD5340,Motorcycle,Grey
VEH_0167,DL03XC9566,SUV,Black
VEH_0168,DL10EK7519,Motorcycle,Grey
VEH_0169,DL01RS9753,Truck,White
VEH_0170,DL07TT9877,Truck,Grey
VEH_0171,DL01FE1619,Truck,Black
VEH_0172,DL10WX4765,Van,Dark Blue
VEH_0173,DL12TW5108,Van,Silver
VEH_0174,DL11EJ6533,Van,Grey
VEH_0175,DL09UC2376,Truck,Silver
VEH_0176,DL08UR9315,Motorcycle,Black
VEH_0177,DL12UO2501,Truck,White
VEH_0178,DL04RM8333,Motorcycle,Dark Blue
VEH_0179,DL04RY4059,Sedan,Grey
VEH_0180,DL08IM2277,Van,Black
VEH_0181,DL12UV8559,Motorcycle,Grey
VEH_0182,DL09PM9879,SUV,Grey
VEH_0183,DL10NQ9146,SUV,White
VEH_0184,DL06QS4213,Motorcycle,Black
VEH_0185,DL11RK9591,Sedan,Dark Blue
VEH_0186,DL11FV4890,Truck,Black
VEH_0187,DL12IA6904,Motorcycle,Dark Blue
VEH_0188,DL12TK8481,Van,Black
VEH_0189,DL01VD3751,Truck,Grey
VEH_0190,DL03YX6613,Truck,Silver
VEH_0191,DL05FQ7441,Motorcycle,Grey
VEH_0192,DL07GE6783,Van,Silver
VEH_0193,DL03UH3180,Van,Grey
VEH_0194,DL05ZM4640,SUV,Grey
VEH_0195,DL10DK7633,SUV,Silver
VEH_0196,DL02VV6371,SUV,Grey
VEH_0197,DL06XP3914,Truck,Dark Blue
VEH_0198,DL03SF7613,Van,White
VEH_0199,DL12HK9679,Van,Silver
VEH_0200,DL02HQ2740,Van,Dark Blue
VEH_0201,DL06LA9022,Van,Silver
VEH_0202,DL07RK1256,Van,Silver
VEH_0203,DL08YV5707,Truck,White
VEH_0204,DL01GJ2965,Van,Grey
VEH_0205,DL02DP8933,SUV,Black
VEH_0206,DL04QW6465,Van,White
VEH_0207,DL05ZB2409,Truck,White
VEH_0208,DL07JC6328,Truck,Dark Blue
VEH_0209,DL02KK4314,Sedan,White
VEH_0210,DL12FL4513,Motorcycle,Dark Blue
VEH_0211,DL12QD4901,Motorcycle,Dark Blue
VEH_0212,DL06BA5354,SUV,Black
VEH_0213,DL05YZ2427,Sedan,Silver
VEH_0214,DL03OM9670,Sedan,Grey
VEH_0215,DL09PR1985,Van,White
VEH_0216,DL08AI6914,SUV,White
VEH_0217,DL09QR6706,Motorcycle,White
VEH_0218,DL03KR8014,Motorcycle,Black
VEH_0219,DL06YS9297,Motorcycle,Dark Blue
VEH_0220,DL09OI5893,SUV,White
VEH_0221,DL08WK9359,Truck,Silver
VEH_0222,DL09UK7913,Truck,Silver
VEH_0223,DL12TJ3912,Van,White
VEH_0224,DL05TD2359,Motorcycle,Silver
VEH_0225,DL01EA1645,Sedan,White
VEH_0226,DL05LU4761,Van,White
VEH_0227,DL02HE2896,Truck,Silver
VEH_0228,DL02GA6308,Truck,Dark Blue
VEH_0229,DL01QG7974,Van,White
VEH_0230,DL11DJ5968,Truck,Grey
VEH_0231,DL09TM7321,Van,Grey
VEH_0232,DL12PE9185,SUV,Dark Blue
VEH_0233,DL08UZ8226,Truck,Dark Blue
VEH_0234,DL03XA3125,Truck,Grey
VEH_0235,DL12WF7042,Truck,White
VEH_0236,DL02QG3832,Van,Black
VEH_0237,DL12EG2030,SUV,White
VEH_0238,DL10EU1116,Truck,Grey
VEH_0239,DL02BM1132,Sedan,Grey
VEH_0240,DL04NI9020,SUV,White
VEH_0241,DL12RO6652,Sedan,Grey
VEH_0242,DL03YP7619,Van,Black
VEH_0243,DL11OF3960,Truck,Dark Blue
VEH_0244,DL08KI6950,Van,Silver
VEH_0245,DL08EM3535,Van,Black
VEH_0246,DL06ET2478,Van,Dark Blue
VEH_0247,DL07VR4950,Sedan,Dark Blue
VEH_0248,DL01RF8201,Sedan,Dark Blue
VEH_0249,DL03CO4523,SUV,Dark Blue
VEH_0250,DL12XG4049,Sedan,Silver
VEH_0251,DL03FE4507,Motorcycle,White
VEH_0252,DL02XN6356,Van,Black
VEH_0253,DL11JH3357,SUV,White
VEH_0254,DL06UL5006,Van,Grey
VEH_0255,DL04KR6047,Truck,Dark Blue
VEH_0256,DL02PX8586,Motorcycle,White
VEH_0257,DL03ZM5748,SUV,Black
VEH_0258,DL10KI5159,Van,Dark Blue
VEH_0259,DL10WX2908,SUV,Dark Blue
VEH_0260,DL10SO1044,SUV,Grey
VEH_0261,DL03OC3655,Sedan,Silver
VEH_0262,DL04VT8676,Van,Dark Blue
VEH_0263,DL12DG9033,Truck,White
VEH_0264,DL10RQ4981,SUV,White
VEH_0265,DL01ZV2614,SUV,Silver
VEH_0266,DL07XZ1889,Van,White
VEH_0267,DL03BB5346,Van,Dark Blue
VEH_0268,DL10ZV8628,Van,Grey
VEH_0269,DL09SO6723,SUV,Silver
VEH_0270,DL11QL4025,SUV,Grey
VEH_0271,DL07BZ1662,SUV,Black
VEH_0272,DL05JH7354,Sedan,Grey
VEH_0273,DL10KD8540,Sedan,Silver
VEH_0274,DL03GX2533,Sedan,White
VEH_0275,DL11SF6705,Sedan,Black
VEH_0276,DL05GP5541,Van,White
VEH_0277,DL01TG1080,Van,Dark Blue
VEH_0278,DL08CG9189,Sedan,Grey
VEH_0279,DL02EM1793,SUV,White
VEH_0280,DL02GF2934,Motorcycle,Dark Blue
VEH_0281,DL08YV3287,Sedan,Black
VEH_0282,DL10YX2462,Sedan,Black
VEH_0283,DL07MD3121,SUV,Black
VEH_0284,DL02TX1522,Motorcycle,White
VEH_0285,DL12KV9669,Motorcycle,White
VEH_0286,DL04TX4507,Sedan,Silver
VEH_0287,DL10GN7230,Truck,White
VEH_0288,DL09AV3930,Motorcycle,Silver
VEH_0289,DL09DE5621,SUV,Black
VEH_0290,DL02JA7468,Van,White
VEH_0291,DL06AS6351,SUV,White
VEH_0292,DL10JM3110,Sedan,Grey
VEH_0293,DL04WL6733,Motorcycle,Black
VEH_0294,DL12XU1020,SUV,Grey
VEH_0295,DL10LE9135,Sedan,Black
VEH_0296,DL04OD3324,Truck,White
VEH_0297,DL07LR6351,Van,Silver
VEH_0298,DL07JY3135,SUV,Black
VEH_0299,DL05CX3558,Sedan,White
VEH_0300,DL08BN3017,Truck,Grey
VEH_0301,DL03PH9107,Truck,Black
VEH_0302,DL03TT2007,Motorcycle,Black
VEH_0303,DL07NS1366,Motorcycle,White
VEH_0304,DL03EJ9700,Sedan,Silver
VEH_0305,DL06IF1124,SUV,Silver
VEH_0306,DL01HB3042,Sedan,Grey
VEH_0307,DL06MP8396,Truck,Dark Blue
VEH_0308,DL05TC7076,Motorcycle,Grey
VEH_0309,DL11YL7094,Truck,Dark Blue
VEH_0310,DL03HI8857,Sedan,White
VEH_0311,DL05ON1044,Sedan,Black
VEH_0312,DL09BY2941,Van,Black
VEH_0313,DL01GA7759,Van,White
VEH_0314,DL02OM5524,Sedan,Dark Blue
VEH_0315,DL03NQ1698,Van,Black
VEH_0316,DL09DZ7000,Motorcycle,Black
VEH_0317,DL03SA2772,Truck,Black
VEH_0318,DL08CG9329,Sedan,Dark Blue
VEH_0319,DL08DH1882,Motorcycle,White
VEH_0320,DL06CB5714,Truck,Grey
VEH_0321,DL05PJ4268,Motorcycle,White
VEH_0322,DL02WG1406,Sedan,Grey
VEH_0323,DL07FL9711,Van,Silver
VEH_0324,DL08NW8036,Van,Silver
VEH_0325,DL08AG2974,Van,Black
VEH_0326,DL06GV4282,Van,Dark Blue
VEH_0327,DL03ZO5165,Motorcycle,Dark Blue
VEH_0328,DL07EC6787,Van,Black
VEH_0329,DL09HE8782,Sedan,Black
VEH_0330,DL01IM7796,Motorcycle,Black
VEH_0331,DL05KU1408,Sedan,Black
VEH_0332,DL01OS8956,Motorcycle,Black
VEH_0333,DL05BA5303,Van,White
VEH_0334,DL09YR2113,Van,Silver
VEH_0335,DL10AK5084,Sedan,Silver
VEH_0336,DL03BI9222,Sedan,Grey
VEH_0337,DL05UT9141,Motorcycle,Grey
VEH_0338,DL09PU4664,Sedan,White
VEH_0339,DL08SO2970,Motorcycle,Dark Blue
VEH_0340,DL10RX5794,Sedan,Dark Blue
VEH_0341,DL07DE4543,Motorcycle,Silver
VEH_0342,DL01PP5360,SUV,White
VEH_0343,DL03YK8158,SUV,White
VEH_0344,DL12WQ5736,Van,Grey
VEH_0345,DL02TO1240,Sedan,Silver
VEH_0346,DL03NV3286,Sedan,White
VEH_0347,DL08BQ8548,Van,White
VEH_0348,DL02CN1899,SUV,Black
VEH_0349,DL11ZV5251,Sedan,Grey
VEH_0350,DL02HL9404,Van,Grey
VEH_0351,DL10OE2834,Sedan,Dark Blue
VEH_0352,DL01XR9251,Van,Silver
VEH_0353,DL11QA2156,Van,Dark Blue
VEH_0354,DL05JR3264,SUV,Black
VEH_0355,DL08LQ9407,SUV,Grey
VEH_0356,DL08QL8170,Sedan,Grey
VEH_0357,DL03BZ1420,Truck,Grey
VEH_0358,DL01NP6246,Motorcycle,Black
VEH_0359,DL03GM2394,Truck,Grey
VEH_0360,DL07CY2376,SUV,Grey
VEH_0361,DL08VS5430,SUV,Grey
VEH_0362,DL11NR9268,SUV,Dark Blue
VEH_0363,DL12YM8817,Sedan,Silver
VEH_0364,DL01SL4757,Sedan,Silver
VEH_0365,DL02ZS7938,Sedan,Silver
VEH_0366,DL07BP5065,SUV,Dark Blue
VEH_0367,DL05VZ4672,Truck,Dark Blue
VEH_0368,DL06DY8540,Van,Dark Blue
VEH_0369,DL03JU1740,Van,Dark Blue
VEH_0370,DL12UJ7165,Motorcycle,Grey
VEH_0371,DL04XI8033,Sedan,Silver
VEH_0372,DL08QJ3485,Sedan,Dark Blue
VEH_0373,DL01ER6538,Sedan,Dark Blue
VEH_0374,DL03FL4983,Motorcycle,Silver
VEH_0375,DL09RE1005,Van,Grey
VEH_0376,DL04IR7555,Van,Grey
VEH_0377,DL04TB8141,SUV,Silver
VEH_0378,DL07PE9637,Motorcycle,Grey
VEH_0379,DL10CN1361,Van,Black
VEH_0380,DL02JC4513,Sedan,Grey
VEH_0381,DL12HL3674,SUV,Dark Blue
VEH_0382,DL02HG8784,Motorcycle,Black
VEH_0383,DL06FH1717,Truck,Silver
VEH_0384,DL09QD7563,Truck,Black
VEH_0385,DL03LI5949,Motorcycle,White
VEH_0386,DL05DT2595,Motorcycle,Silver
VEH_0387,DL11BG5737,Truck,Black
VEH_0388,DL10NM2035,Motorcycle,Dark Blue
VEH_0389,DL12CY9450,SUV,Silver
VEH_0390,DL10RS9955,Sedan,Grey
VEH_0391,DL09XA7565,Motorcycle,Grey
VEH_0392,DL03DI2304,Motorcycle,Silver
VEH_0393,DL07QD4710,Truck,Grey
VEH_0394,DL03MU7169,Truck,Grey
VEH_0395,DL07TV9821,Van,White
VEH_0396,DL12SM8214,Truck,Grey
VEH_0397,DL07SJ2479,Truck,Silver
VEH_0398,DL10IK1807,Sedan,Black
VEH_0399,DL10EX3958,Sedan,Dark Blue
VEH_0400,DL06HW7250,Sedan,Silver
VEH_0401,DL02CP2287,Motorcycle,Black
VEH_0402,DL04TR7469,SUV,Dark Blue
VEH_0403,DL06HN3060,Sedan,Grey
VEH_0404,DL10IK7101,Van,Black
VEH_0405,DL07PA1805,Sedan,Grey
VEH_0406,DL11US5933,SUV,Silver
VEH_0407,DL09SI3931,Sedan,Silver
VEH_0408,DL07MV5488,Van,Grey
VEH_0409,DL07NP7724,Sedan,Silver
VEH_0410,DL07IF1235,Truck,Silver
VEH_0411,DL07LP8259,Truck,Grey
VEH_0412,DL01SO6054,Truck,White
VEH_0413,DL04ZQ1473,Motorcycle,White
VEH_0414,DL04ZL5228,Motorcycle,Dark Blue
VEH_0415,DL03UF7860,Truck,Silver
VEH_0416,DL01DM6472,Van,Grey
VEH_0417,DL06HB1150,Motorcycle,White
VEH_0418,DL03DF3492,Truck,White
VEH_0419,DL08NP8765,Truck,Dark Blue
VEH_0420,DL03YK2103,Motorcycle,Black
VEH_0421,DL02CF5602,Sedan,Black
VEH_0422,DL06QI9739,Van,Dark Blue
VEH_0423,DL01AY9795,Sedan,Black
VEH_0424,DL08SQ7489,Motorcycle,Dark Blue
VEH_0425,DL09EG2296,SUV,Grey
VEH_0426,DL10LO1223,Truck,Dark Blue
VEH_0427,DL03WN5310,SUV,Dark Blue
VEH_0428,DL02EX2817,SUV,Black
VEH_0429,DL04QI4748,Motorcycle,Silver
VEH_0430,DL04NL7322,Van,Black
VEH_0431,DL08RL3765,Truck,Silver
VEH_0432,DL09FJ3095,Sedan,Grey
VEH_0433,DL12YH9248,Truck,Silver
VEH_0434,DL06ZY5396,Sedan,Black
VEH_0435,DL11NI6005,Truck,Silver
VEH_0436,DL11OK3386,SUV,Black
VEH_0437,DL02EG3525,Motorcycle,Silver
VEH_0438,DL09TY9048,Van,Black
VEH_0439,DL08OY7523,SUV,White
VEH_0440,DL11JU3725,Motorcycle,White
VEH_0441,DL01GR9829,Motorcycle,White
VEH_0442,DL02PL1206,Van,Black
VEH_0443,DL02TZ7341,SUV,Black
VEH_0444,DL05KW4184,Sedan,Dark Blue
VEH_0445,DL10ZH6324,Van,Grey
VEH_0446,DL03IT4759,Truck,White
VEH_0447,DL05AB2701,Van,Black
VEH_0448,DL12MO8768,Van,Silver
VEH_0449,DL09CN6658,SUV,Silver
VEH_0450,DL05IV6889,Truck,Silver
VEH_0451,DL07BR4444,Van,Silver
VEH_0452,DL12CP4562,Motorcycle,Grey
VEH_0453,DL02AU6251,SUV,Grey
VEH_0454,DL02ER8479,Van,Grey
VEH_0455,DL11IR7324,Van,Grey
VEH_0456,DL10NS9645,Van,White
VEH_0457,DL12TB6014,Truck,Dark Blue
VEH_0458,DL10WE8853,Sedan,Silver
VEH_0459,DL08VE5158,Motorcycle,White
VEH_0460,DL01ZC9854,Motorcycle,Silver
VEH_0461,DL03IE4337,Van,White
VEH_0462,DL10OF9543,SUV,White
VEH_0463,DL10ZD3473,Sedan,Grey
VEH_0464,DL08AM3574,Van,White
VEH_0465,DL03QQ1808,Van,Grey
VEH_0466,DL04FE2984,Sedan,Black
VEH_0467,DL01FH3879,Sedan,Black
VEH_0468,DL02WQ7323,Motorcycle,Dark Blue
VEH_0469,DL07DB1488,Van,Grey
VEH_0470,DL11RZ8878,Motorcycle,Black
VEH_0471,DL01RC5841,SUV,Silver
VEH_0472,DL07ZC5731,Sedan,White
VEH_0473,DL09JK4997,Sedan,Grey
VEH_0474,DL09YB8906,Truck,Dark Blue
VEH_0475,DL09UE4194,Truck,Silver
VEH_0476,DL07SK2600,Sedan,Black
VEH_0477,DL04XY1276,Motorcycle,Dark Blue
VEH_0478,DL03AL5570,Truck,Grey
VEH_0479,DL07OC6429,Sedan,Black
VEH_0480,DL07NV7388,Motorcycle,Silver
VEH_0481,DL02CA7438,Truck,Silver
VEH_0482,DL02WC4683,Truck,Black
VEH_0483,DL08RK2647,Motorcycle,Grey
VEH_0484,DL10IY8691,Sedan,Grey
VEH_0485,DL10AL4189,Motorcycle,Dark Blue
VEH_0486,DL09GJ3307,Motorcycle,Grey
VEH_0487,DL12SS7639,SUV,Dark Blue
VEH_0488,DL10OZ1252,Van,White
VEH_0489,DL09NR9520,Van,Black
VEH_0490,DL08QV8951,Van,Black
VEH_0491,DL06AL8024,SUV,Silver
VEH_0492,DL08CS8446,Motorcycle,Black
VEH_0493,DL12TH3072,Sedan,Black
VEH_0494,DL03NW6873,Motorcycle,Grey
VEH_0495,DL10RF7228,Sedan,Silver
VEH_0496,DL02RA7038,SUV,Black
VEH_0497,DL08LK9363,Truck,Black
VEH_0498,DL08PO5764,Sedan,White
VEH_0499,DL08JM4029,Sedan,Black
VEH_0500,DL09VZ3370,Truck,Black
VEH_0501,DL10WS7599,SUV,Dark Blue
VEH_0502,DL05FF3308,Van,Dark Blue
VEH_0503,DL06QS2219,Motorcycle,Black
VEH_0504,DL12IX7003,Truck,White
VEH_0505,DL02RL5811,Truck,Dark Blue
VEH_0506,DL01KN9286,SUV,Black
VEH_0507,DL10EE7015,Motorcycle,Black
VEH_0508,DL12SA1815,Sedan,Dark Blue
VEH_0509,DL04WK7717,Truck,Black
VEH_0510,DL08FG3228,Truck,Dark Blue
VEH_0511,DL03QF6375,Truck,Black
VEH_0512,DL01CP9522,Van,White
VEH_0513,DL03WI8415,SUV,Black
VEH_0514,DL03NC7381,Van,Silver
VEH_0515,DL01PC1965,Truck,Grey
VEH_0516,DL11WY1966,Sedan,Black
VEH_0517,DL10LA3916,Motorcycle,Black
VEH_0518,DL11CK4046,Motorcycle,Black
VEH_0519,DL12BX6942,SUV,Dark Blue
VEH_0520,DL01SE4270,Sedan,Black
VEH_0521,DL08CZ8048,Van,Silver
VEH_0522,DL11AA8927,Truck,Black
VEH_0523,DL09SZ6116,Van,Silver
VEH_0524,DL12JH3307,Van,Grey
VEH_0525,DL08NS4495,Motorcycle,Silver
VEH_0526,DL03TI5571,Motorcycle,Black
VEH_0527,DL07XC9432,SUV,Dark Blue
VEH_0528,DL04ZJ9821,Sedan,White
VEH_0529,DL12YC1581,Truck,Silver
VEH_0530,DL01EL7607,SUV,White
VEH_0531,DL02OJ4495,Truck,Dark Blue
VEH_0532,DL05QY4964,Truck,White
VEH_0533,DL07QB7645,Truck,Grey
VEH_0534,DL07BX8033,Motorcycle,White
VEH_0535,DL10RH5118,Truck,Grey
VEH_0536,DL09GR5974,SUV,Silver
VEH_0537,DL04MZ5881,Motorcycle,White
VEH_0538,DL09BK6472,Sedan,Dark Blue
VEH_0539,DL08IW1821,Motorcycle,Silver
VEH_0540,DL08TK6774,Sedan,Silver
VEH_0541,DL07FG3994,Sedan,Grey
VEH_0542,DL01RK6317,Sedan,Black
VEH_0543,DL08UW6070,Sedan,Grey
VEH_0544,DL02HD2365,Sedan,Dark Blue
VEH_0545,DL09MD1312,SUV,Silver
VEH_0546,DL05WO7374,Sedan,White
VEH_0547,DL03UA7653,Van,Silver
VEH_0548,DL04KI2362,SUV,Black
VEH_0549,DL02VE3985,Motorcycle,Silver
VEH_0550,DL10LB1173,SUV,Dark Blue
VEH_0551,DL12BC6234,Sedan,Silver
VEH_0552,DL04XF6685,Van,Silver
VEH_0553,DL08UT6567,Sedan,Dark Blue
VEH_0554,DL05BP2636,Motorcycle,White
VEH_0555,DL03OT1811,Truck,Grey
VEH_0556,DL11LU1459,SUV,Black
VEH_0557,DL01AM5716,Van,White
VEH_0558,DL05YX1199,SUV,Grey
VEH_0559,DL02AI6705,SUV,Black
VEH_0560,DL04NB9298,Van,Silver
VEH_0561,DL02CR5913,Van,Black
VEH_0562,DL04UK3855,Van,Silver
VEH_0563,DL06YY4991,Truck,Grey
VEH_0564,DL06EB6920,Motorcycle,Black
VEH_0565,DL01BN8977,Van,Grey
VEH_0566,DL01UA7517,Van,Dark Blue
VEH_0567,DL09BC9957,Motorcycle,Dark Blue
VEH_0568,DL08IB4958,Motorcycle,Grey
VEH_0569,DL05WV3053,SUV,White
VEH_0570,DL10JJ7143,SUV,Black
VEH_0571,DL01MP8511,Motorcycle,White
VEH_0572,DL06KA4571,SUV,Silver
VEH_0573,DL01CP4481,Motorcycle,Silver
VEH_0574,DL05EM4008,Truck,Black
VEH_0575,DL08RI4010,Van,Black
VEH_0576,DL11FV3448,SUV,White
VEH_0577,DL05KD2142,Sedan,Black
VEH_0578,DL10BU7910,Sedan,Silver
VEH_0579,DL04AU9863,Van,Dark Blue
VEH_0580,DL09IH1228,SUV,Black
VEH_0581,DL02MM8275,SUV,White
VEH_0582,DL10AJ6480,Motorcycle,Silver
VEH_0583,DL10RZ9897,Motorcycle,Silver
VEH_0584,DL10FC3801,Van,Grey
VEH_0585,DL07JF7475,Sedan,White
VEH_0586,DL04NV3935,Sedan,White
VEH_0587,DL08LL9530,SUV,Black
VEH_0588,DL05OO1404,Van,White
VEH_0589,DL01OD2488,Truck,White
