person_id,account_id,account_role
PER_0120,ACC_0176,Primary
PER_0121,ACC_0189,Benami
PER_0121,ACC_0133,Primary
PER_0122,ACC_0350,Primary
PER_0122,ACC_0213,Benami
PER_0123,ACC_1124,Primary
PER_0124,ACC_0831,Primary
PER_0125,ACC_0867,Benami
PER_0125,ACC_0617,Primary
PER_0126,ACC_0833,Primary
PER_0127,ACC_0293,Primary
PER_0128,ACC_0501,Primary
PER_0129,ACC_0763,Primary
PER_0130,ACC_0402,Benami
PER_0131,ACC_0109,Benami
PER_0132,ACC_0379,Primary
PER_0133,ACC_0687,Primary
PER_0133,ACC_0039,Primary
PER_0134,ACC_0345,Benami
PER_0135,ACC_0197,Benami
PER_0136,ACC_0056,Primary
PER_0137,ACC_0076,Primary
PER_0137,ACC_0212,Benami
PER_0138,ACC_0040,Benami
PER_0139,ACC_0870,Benami
PER_0139,ACC_0512,Primary
PER_0140,ACC_0264,Benami
PER_0141,ACC_0570,Benami
PER_0142,ACC_0476,Benami
PER_0142,ACC_0268,Benami
PER_0143,ACC_0774,Primary
PER_0143,ACC_0287,Benami
PER_0144,ACC_0155,Benami
PER_0145,ACC_0525,Primary
PER_0146,ACC_0458,Primary
PER_0147,ACC_0467,Primary
PER_0148,ACC_0372,Primary
PER_0148,ACC_1059,Primary
PER_0149,ACC_0325,Benami
PER_0150,ACC_0688,Primary
PER_0150,ACC_0844,Primary
PER_0151,ACC_0624,Benami
PER_0152,ACC_0612,Primary
PER_0152,ACC_0611,Primary
PER_0153,ACC_0355,Benami
PER_0154,ACC_0880,Benami
PER_0154,ACC_0396,Primary
PER_0155,ACC_0507,Primary
PER_0155,ACC_0896,Primary
PER_0156,ACC_0497,Primary
PER_0156,ACC_0567,Primary
PER_0157,ACC_0364,Primary
PER_0157,ACC_0967,Primary
PER_0158,ACC_0686,Primary
PER_0159,ACC_0828,Primary
PER_0159,ACC_0760,Primary
PER_0160,ACC_0548,Primary
PER_0161,ACC_0323,Primary
PER_0161,ACC_0758,Primary
PER_0162,ACC_0854,Primary
PER_0163,ACC_0546,Primary
PER_0164,ACC_0449,Primary
PER_0164,ACC_0511,Primary
PER_0165,ACC_0327,Primary
PER_0165,ACC_0591,Primary
PER_0166,ACC_0807,Primary
PER_0166,ACC_0890,Primary
PER_0167,ACC_0427,Primary
PER_0167,ACC_1150,Primary
PER_0168,ACC_0261,Primary
PER_0168,ACC_1181,Primary
PER_0169,ACC_0316,Benami
PER_0170,ACC_1012,Benami
PER_0170,ACC_0309,Primary
PER_0171,ACC_0321,Primary
PER_0172,ACC_0403,Primary
PER_0172,ACC_1121,Primary
PER_0173,ACC_0587,Primary
PER_0174,ACC_1025,Benami
PER_0174,ACC_0879,Primary
PER_0175,ACC_0208,Primary
PER_0175,ACC_0806,Benami
PER_0176,ACC_0485,Primary
PER_0176,ACC_1119,Benami
PER_0177,ACC_0726,Primary
PER_0178,ACC_0208,Primary
PER_0179,ACC_0946,Benami
PER_0180,ACC_0048,Primary
PER_0181,ACC_0971,Benami
PER_0182,ACC_0966,Primary
PER_0183,ACC_0196,Benami
PER_0184,ACC_0988,Primary
PER_0184,ACC_1135,Benami
PER_0185,ACC_0792,Primary
PER_0186,ACC_0242,Benami
PER_0187,ACC_0585,Primary
PER_0188,ACC_0610,Primary
PER_0189,ACC_0813,Primary
PER_0189,ACC_0377,Benami
PER_0190,ACC_1185,Primary
PER_0191,ACC_0796,Primary
PER_0192,ACC_0706,Benami
PER_0192,ACC_0831,Primary
PER_0193,ACC_0943,Benami
PER_0194,ACC_0024,Primary
PER_0194,ACC_0441,Primary
PER_0195,ACC_0225,Benami
PER_0196,ACC_0785,Primary
PER_0196,ACC_0599,Benami
PER_0197,ACC_0925,Primary
PER_0197,ACC_0053,Primary
PER_0198,ACC_0448,Primary
PER_0199,ACC_0068,Benami
PER_0200,ACC_0221,Primary
PER_0200,ACC_0348,Primary
PER_0201,ACC_0233,Primary
PER_0202,ACC_1163,Primary
PER_0203,ACC_0167,Benami
PER_0204,ACC_0558,Primary
PER_0205,ACC_0976,Primary
PER_0206,ACC_0988,Primary
PER_0206,ACC_0421,Benami
PER_0207,ACC_0577,Benami
PER_0208,ACC_0182,Primary
PER_0208,ACC_0128,Primary
PER_0209,ACC_0444,Benami
PER_0209,ACC_0078,Benami
PER_0210,ACC_0213,Primary
PER_0211,ACC_1185,Primary
PER_0211,ACC_0171,Benami
PER_0212,ACC_0331,Benami
PER_0212,ACC_0080,Primary
PER_0213,ACC_0855,Primary
PER_0213,ACC_0244,Primary
PER_0214,ACC_0149,Primary
PER_0215,ACC_0505,Benami
PER_0216,ACC_0411,Benami
PER_0217,ACC_0620,Benami
PER_0217,ACC_1134,Benami
PER_0218,ACC_0430,Primary
PER_0219,ACC_0872,Benami
PER_0220,ACC_1159,Primary
PER_0220,ACC_0197,Primary
PER_0221,ACC_0421,Primary
PER_0222,ACC_0121,Primary
PER_0222,ACC_0164,Primary
PER_0223,ACC_1015,Benami
PER_0224,ACC_0201,Primary
PER_0225,ACC_0034,Primary
PER_0225,ACC_0278,Primary
PER_0226,ACC_0331,Primary
PER_0227,ACC_0593,Benami
PER_0228,ACC_1093,Primary
PER_0229,ACC_0650,Primary
PER_0229,ACC_0280,Primary
PER_0230,ACC_0437,Primary
PER_0231,ACC_1045,Primary
PER_0231,ACC_0755,Benami
PER_0232,ACC_0385,Benami
PER_0232,ACC_0147,Primary
PER_0233,ACC_0077,Primary
PER_0234,ACC_0618,Primary
PER_0234,ACC_0228,Primary
PER_0235,ACC_0347,Primary
PER_0235,ACC_0511,Benami
PER_0236,ACC_0099,Primary
PER_0236,ACC_0156,Benami
PER_0237,ACC_0447,Benami
PER_0237,ACC_0679,Primary
PER_0238,ACC_0380,Benami
PER_0238,ACC_0796,Primary
PER_0239,ACC_0691,Primary
PER_0239,ACC_0343,Benami
PER_0240,ACC_0639,Benami
PER_0240,ACC_0154,Primary
PER_0241,ACC_0997,Primary
PER_0241,ACC_0134,Primary
PER_0242,ACC_1067,Primary
PER_0242,ACC_1077,Primary
PER_0243,ACC_0579,Primary
PER_0243,ACC_1038,Primary
PER_0244,ACC_0120,Benami
PER_0245,ACC_0698,Primary
PER_0246,ACC_0824,Primary
PER_0246,ACC_0427,Primary
PER_0247,ACC_0299,Primary
PER_0247,ACC_0378,Primary
PER_0248,ACC_0320,Primary
PER_0248,ACC_0799,Primary
PER_0249,ACC_0830,Benami
PER_0249,ACC_0752,Primary
PER_0250,ACC_0976,Benami
PER_0251,ACC_0170,Benami
PER_0252,ACC_0228,Benami
PER_0252,ACC_0456,Primary
PER_0253,ACC_0369,Benami
PER_0253,ACC_0534,Primary
PER_0254,ACC_0211,Benami
PER_0254,ACC_0011,Primary
PER_0255,ACC_0838,Primary
PER_0255,ACC_1109,Primary
PER_0256,ACC_0996,Benami
PER_0257,ACC_0016,Primary
PER_0258,ACC_0394,Primary
PER_0259,ACC_0250,Primary
PER_0260,ACC_0287,Benami
PER_0261,ACC_0371,Benami
PER_0262,ACC_0582,Benami
PER_0263,ACC_0965,Primary
PER_0263,ACC_0670,Primary
PER_0264,ACC_0609,Benami
PER_0264,ACC_0066,Benami
PER_0265,ACC_0927,Benami
PER_0265,ACC_0238,Primary
PER_0266,ACC_0237,Primary
PER_0267,ACC_0061,Benami
PER_0267,ACC_0644,Primary
PER_0268,ACC_0299,Primary
PER_0268,ACC_0338,Primary
PER_0269,ACC_0016,Primary
PER_0270,ACC_0593,Primary
PER_0270,ACC_0241,Primary
PER_0271,ACC_1003,Primary
PER_0271,ACC_1140,Primary
PER_0272,ACC_1074,Benami
PER_0272,ACC_0493,Primary
PER_0273,ACC_0150,Benami
PER_0274,ACC_0210,Primary
PER_0274,ACC_0590,Primary
PER_0275,ACC_0497,Benami
PER_0275,ACC_0618,Primary
PER_0276,ACC_1046,Primary
PER_0277,ACC_0538,Benami
PER_0278,ACC_0931,Primary
PER_0278,ACC_0590,Primary
PER_0279,ACC_0359,Benami
PER_0280,ACC_0047,Primary
PER_0281,ACC_1020,Primary
PER_0281,ACC_1146,Primary
PER_0282,ACC_0952,Primary
PER_0283,ACC_0299,Benami
PER_0284,ACC_0514,Primary
PER_0284,ACC_0491,Primary
PER_0285,ACC_0654,Primary
PER_0286,ACC_0706,Primary
PER_0286,ACC_1010,Primary
PER_0287,ACC_0043,Primary
PER_0287,ACC_1116,Benami
PER_0288,ACC_0859,Primary
PER_0289,ACC_1161,Primary
PER_0289,ACC_0101,Primary
PER_0290,ACC_1065,Primary
PER_0291,ACC_0031,Benami
PER_0291,ACC_0773,Benami
PER_0292,ACC_0861,Benami
PER_0292,ACC_0942,Primary
PER_0293,ACC_0761,Primary
PER_0293,ACC_0910,Benami
PER_0294,ACC_0295,Primary
PER_0294,ACC_0910,Primary
PER_0295,ACC_1148,Benami
PER_0295,ACC_0142,Primary
PER_0296,ACC_0287,Primary
PER_0297,ACC_1049,Benami
PER_0298,ACC_0817,Primary
PER_0298,ACC_0330,Primary
PER_0299,ACC_0552,Primary
PER_0299,ACC_0618,Primary
PER_0300,ACC_0662,Primary
PER_0301,ACC_1089,Benami
PER_0302,ACC_0493,Primary
PER_0303,ACC_0357,Primary
PER_0303,ACC_0436,Benami
PER_0304,ACC_0561,Benami
PER_0305,ACC_0631,Benami
PER_0306,ACC_0701,Primary
PER_0306,ACC_0506,Primary
PER_0307,ACC_0671,Primary
PER_0308,ACC_0940,Primary
PER_0308,ACC_0578,Primary
PER_0309,ACC_0787,Benami
PER_0310,ACC_1154,Benami
PER_0310,ACC_0776,Benami
PER_0311,ACC_0927,Benami
PER_0311,ACC_0126,Primary
PER_0312,ACC_0296,Primary
PER_0313,ACC_0597,Benami
PER_0313,ACC_0735,Benami
PER_0314,ACC_0660,Primary
PER_0315,ACC_1076,Primary
PER_0316,ACC_0573,Benami
PER_0317,ACC_0892,Primary
PER_0318,ACC_0907,Benami
PER_0319,ACC_0606,Primary
PER_0319,ACC_0322,Primary
PER_0320,ACC_0619,Benami
PER_0321,ACC_1110,Primary
PER_0321,ACC_0363,Primary
PER_0322,ACC_0361,Primary
PER_0323,ACC_0430,Primary
PER_0323,ACC_0973,Primary
PER_0324,ACC_0454,Primary
PER_0324,ACC_0259,Primary
PER_0325,ACC_0249,Primary
PER_0326,ACC_1025,Benami
PER_0327,ACC_0016,Benami
PER_0327,ACC_0379,Primary
PER_0328,ACC_0218,Primary
PER_0329,ACC_0434,Primary
PER_0330,ACC_1003,Primary
PER_0331,ACC_0127,Benami
PER_0332,ACC_0377,Primary
PER_0333,ACC_0882,Primary
PER_0333,ACC_0204,Benami
PER_0334,ACC_0772,Primary
PER_0334,ACC_0576,Benami
PER_0335,ACC_0725,Benami
PER_0335,ACC_0634,Primary
PER_0336,ACC_0465,Benami
PER_0337,ACC_0445,Primary
PER_0337,ACC_0280,Benami
PER_0338,ACC_0960,Primary
PER_0338,ACC_0954,Primary
PER_0339,ACC_0584,Primary
PER_0340,ACC_0904,Primary
PER_0340,ACC_0590,Primary
PER_0341,ACC_0606,Primary
PER_0342,ACC_0402,Primary
PER_0342,ACC_0214,Primary
PER_0343,ACC_0877,Primary
PER_0343,ACC_0862,Primary
PER_0344,ACC_0363,Primary
PER_0344,ACC_0965,Primary
PER_0345,ACC_0257,Benami
PER_0346,ACC_1135,Benami
PER_0347,ACC_0977,Benami
PER_0347,ACC_1122,Primary
PER_0348,ACC_0320,Benami
PER_0349,ACC_0234,Primary
PER_0350,ACC_0050,Primary
PER_0350,ACC_0792,Primary
PER_0351,ACC_0419,Benami
PER_0351,ACC_0687,Benami
PER_0352,ACC_0253,Primary
PER_0352,ACC_1105,Benami
PER_0353,ACC_0776,Primary
PER_0354,ACC_1050,Primary
PER_0354,ACC_0753,Primary
PER_0355,ACC_0171,Benami
PER_0356,ACC_0639,Benami
PER_0357,ACC_0060,Primary
PER_0358,ACC_0929,Primary
PER_0359,ACC_1167,Primary
PER_0360,ACC_0499,Primary
PER_0361,ACC_0425,Benami
PER_0362,ACC_0706,Primary
PER_0362,ACC_1029,Primary
PER_0363,ACC_0260,Primary
PER_0364,ACC_0212,Primary
PER_0364,ACC_1006,Benami
PER_0365,ACC_0846,Primary
PER_0365,ACC_0702,Primary
PER_0366,ACC_0431,Benami
PER_0366,ACC_1073,Benami
PER_0367,ACC_0063,Primary
PER_0367,ACC_0795,Benami
PER_0368,ACC_0805,Benami
PER_0368,ACC_0600,Primary
PER_0369,ACC_0756,Benami
PER_0370,ACC_1000,Benami
PER_0371,ACC_0648,Benami
PER_0371,ACC_0708,Primary
PER_0372,ACC_1002,Primary
PER_0373,ACC_0804,Primary
PER_0373,ACC_0644,Primary
PER_0374,ACC_0842,Primary
PER_0374,ACC_0533,Primary
PER_0375,ACC_0328,Benami
PER_0375,ACC_0338,Primary
PER_0376,ACC_0753,Benami
PER_0376,ACC_0247,Primary
PER_0377,ACC_0645,Benami
PER_0378,ACC_1185,Primary
PER_0378,ACC_0266,Primary
PER_0379,ACC_1094,Primary
PER_0379,ACC_0684,Benami
PER_0380,ACC_0864,Primary
PER_0381,ACC_0856,Benami
PER_0381,ACC_1009,Primary
PER_0382,ACC_0045,Primary
PER_0382,ACC_0903,Benami
PER_0383,ACC_0284,Benami
PER_0383,ACC_0150,Benami
PER_0384,ACC_0761,Benami
PER_0384,ACC_0009,Primary
PER_0385,ACC_1011,Primary
PER_0385,ACC_0946,Primary
PER_0386,ACC_0588,Primary
PER_0387,ACC_1162,Primary
PER_0387,ACC_0950,Benami
PER_0388,ACC_1065,Benami
PER_0389,ACC_0940,Benami
PER_0390,ACC_1085,Benami
PER_0391,ACC_0928,Primary
PER_0391,ACC_1138,Primary
PER_0392,ACC_0498,Benami
PER_0393,ACC_0115,Primary
PER_0394,ACC_0649,Primary
PER_0394,ACC_0132,Primary
PER_0395,ACC_0912,Primary
PER_0395,ACC_0025,Primary
PER_0396,ACC_0288,Primary
PER_0397,ACC_0411,Benami
PER_0397,ACC_0009,Primary
PER_0398,ACC_0056,Primary
PER_0399,ACC_1061,Benami
PER_0400,ACC_0260,Primary
PER_0400,ACC_0795,Primary
PER_0401,ACC_0420,Primary
PER_0402,ACC_0867,Primary
PER_0403,ACC_0047,Benami
PER_0403,ACC_1044,Primary
PER_0404,ACC_1022,Primary
PER_0404,ACC_0176,Primary
PER_0405,ACC_0519,Primary
PER_0405,ACC_0586,Primary
PER_0406,ACC_0050,Primary
PER_0407,ACC_0859,Primary
PER_0407,ACC_0574,Primary
PER_0408,ACC_0385,Benami
PER_0409,ACC_0192,Primary
PER_0409,ACC_1155,Primary
PER_0410,ACC_0159,Benami
PER_0411,ACC_0598,Benami
PER_0411,ACC_0802,Primary
PER_0412,ACC_1108,Primary
PER_0413,ACC_1073,Primary
PER_0414,ACC_0586,Benami
PER_0415,ACC_0126,Benami
PER_0416,ACC_0496,Primary
PER_0416,ACC_0131,Primary
PER_0417,ACC_0156,Primary
PER_0417,ACC_0438,Benami
PER_0418,ACC_0563,Primary
PER_0419,ACC_0978,Primary
PER_0420,ACC_0722,Benami
PER_0420,ACC_1036,Benami
PER_0421,ACC_0212,Primary
PER_0422,ACC_0782,Primary
PER_0422,ACC_0578,Primary
PER_0423,ACC_1125,Benami
PER_0423,ACC_0538,Primary
PER_0424,ACC_0317,Primary
PER_0425,ACC_0830,Primary
PER_0426,ACC_0991,Primary
PER_0427,ACC_0192,Primary
PER_0427,ACC_0219,Primary
PER_0428,ACC_1060,Benami
PER_0428,ACC_0866,Primary
PER_0429,ACC_0790,Primary
PER_0429,ACC_0899,Primary
PER_0430,ACC_0408,Benami
PER_0431,ACC_0976,Primary
PER_0432,ACC_0058,Primary
PER_0432,ACC_0682,Primary
PER_0433,ACC_0389,Primary
PER_0433,ACC_0524,Primary
PER_0434,ACC_0865,Primary
PER_0434,ACC_0671,Benami
PER_0435,ACC_0506,Primary
PER_0435,ACC_0747,Primary
PER_0436,ACC_0579,Benami
PER_0437,ACC_0291,Primary
PER_0437,ACC_0194,Primary
PER_0438,ACC_0687,Benami
PER_0438,ACC_1146,Primary
PER_0439,ACC_0872,Primary
PER_0439,ACC_0877,Primary
PER_0440,ACC_0009,Primary
PER_0441,ACC_0014,Benami
PER_0442,ACC_0419,Primary
PER_0442,ACC_0323,Primary
PER_0443,ACC_0787,Primary
PER_0443,ACC_0881,Primary
PER_0444,ACC_0523,Primary
PER_0445,ACC_0126,Primary
PER_0445,ACC_0338,Primary
PER_0446,ACC_0615,Benami
PER_0446,ACC_0874,Benami
PER_0447,ACC_0391,Primary
PER_0447,ACC_0016,Primary
PER_0448,ACC_0257,Primary
PER_0448,ACC_0017,Primary
PER_0449,ACC_1138,Primary
PER_0450,ACC_0991,Primary
PER_0451,ACC_0934,Benami
PER_0451,ACC_0238,Primary
PER_0452,ACC_0288,Benami
PER_0452,ACC_0654,Primary
PER_0453,ACC_0407,Primary
PER_0453,ACC_0003,Benami
PER_0454,ACC_0170,Benami
PER_0454,ACC_0300,Primary
PER_0455,ACC_0289,Benami
PER_0455,ACC_0397,Benami
PER_0456,ACC_0107,Primary
PER_0457,ACC_0916,Benami
PER_0457,ACC_0962,Primary
PER_0458,ACC_0247,Primary
PER_0458,ACC_1188,Primary
PER_0459,ACC_0748,Primary
PER_0459,ACC_0890,Primary
PER_0460,ACC_0833,Benami
PER_0460,ACC_0607,Primary
PER_0461,ACC_1074,Benami
PER_0461,ACC_0481,Primary
PER_0462,ACC_0036,Primary
PER_0463,ACC_0312,Primary
PER_0463,ACC_0331,Primary
PER_0464,ACC_0778,Primary
PER_0465,ACC_0402,Primary
PER_0465,ACC_0940,Primary
PER_0466,ACC_0261,Primary
PER_0467,ACC_0530,Benami
PER_0468,ACC_0940,Benami
PER_0469,ACC_0980,Primary
PER_0469,ACC_0499,Primary
PER_0470,ACC_1010,Benami
PER_0470,ACC_0235,Primary
PER_0471,ACC_0197,Benami
PER_0472,ACC_0311,Benami
PER_0472,ACC_0859,Primary
PER_0473,ACC_0822,Primary
PER_0474,ACC_0536,Primary
PER_0475,ACC_0934,Primary
PER_0475,ACC_1140,Benami
PER_0476,ACC_0592,Primary
PER_0476,ACC_1040,Benami
PER_0477,ACC_0183,Benami
PER_0477,ACC_0383,Primary
PER_0478,ACC_1168,Primary
PER_0478,ACC_0187,Primary
PER_0479,ACC_0794,Primary
PER_0479,ACC_0581,Benami
PER_0480,ACC_0047,Primary
PER_0481,ACC_1014,Primary
PER_0482,ACC_0867,Benami
PER_0482,ACC_0748,Primary
PER_0483,ACC_0805,Primary
PER_0483,ACC_1104,Primary
PER_0484,ACC_1021,Primary
PER_0485,ACC_0006,Primary
PER_0485,ACC_0081,Primary
PER_0486,ACC_0043,Primary
PER_0487,ACC_0177,Primary
PER_0488,ACC_0036,Benami
PER_0488,ACC_0655,Benami
PER_0489,ACC_0574,Primary
PER_0489,ACC_0427,Primary
PER_0490,ACC_0821,Primary
PER_0491,ACC_0117,Primary
PER_0492,ACC_0481,Primary
PER_0493,ACC_0445,Primary
PER_0493,ACC_0782,Primary
PER_0494,ACC_0027,Benami
PER_0495,ACC_0117,Primary
PER_0496,ACC_1078,Primary
PER_0497,ACC_0136,Primary
PER_0498,ACC_0008,Primary
PER_0499,ACC_1089,Benami
PER_0499,ACC_0092,Primary
PER_0500,ACC_0688,Primary
PER_0501,ACC_0133,Primary
PER_0501,ACC_0687,Primary
PER_0502,ACC_0104,Primary
PER_0503,ACC_0102,Primary
PER_0504,ACC_0909,Primary
PER_0505,ACC_0497,Primary
PER_0506,ACC_0349,Primary
PER_0506,ACC_1094,Benami
PER_0507,ACC_0288,Primary
PER_0508,ACC_1065,Primary
PER_0508,ACC_0137,Primary
PER_0509,ACC_0940,Primary
PER_0509,ACC_0526,Primary
PER_0510,ACC_0452,Primary
PER_0510,ACC_0151,Primary
PER_0511,ACC_0075,Primary
PER_0512,ACC_0501,Benami
PER_0513,ACC_1019,Primary
PER_0513,ACC_0416,Primary
PER_0514,ACC_0286,Primary
PER_0514,ACC_0194,Primary
PER_0515,ACC_0287,Primary
PER_0515,ACC_0865,Primary
PER_0516,ACC_0730,Primary
PER_0516,ACC_0059,Benami
PER_0517,ACC_0875,Primary
PER_0517,ACC_0981,Benami
PER_0518,ACC_0981,Primary
PER_0518,ACC_0816,Benami
PER_0519,ACC_0838,Primary
PER_0520,ACC_1116,Primary
PER_0520,ACC_1078,Primary
PER_0521,ACC_0180,Primary
PER_0522,ACC_0331,Primary
PER_0522,ACC_0942,Benami
PER_0523,ACC_0377,Primary
PER_0524,ACC_0910,Primary
PER_0524,ACC_1055,Primary
PER_0525,ACC_0917,Primary
PER_0526,ACC_0810,Primary
PER_0527,ACC_0347,Primary
PER_0527,ACC_0384,Primary
PER_0528,ACC_0950,Benami
PER_0529,ACC_0652,Primary
PER_0530,ACC_0278,Primary
PER_0531,ACC_0984,Benami
PER_0531,ACC_0953,Primary
PER_0532,ACC_0779,Benami
PER_0532,ACC_0607,Primary
PER_0533,ACC_1090,Primary
PER_0533,ACC_0051,Primary
PER_0534,ACC_0256,Benami
PER_0534,ACC_0903,Primary
PER_0535,ACC_0676,Primary
PER_0535,ACC_0989,Benami
PER_0536,ACC_0285,Primary
PER_0537,ACC_0812,Primary
PER_0537,ACC_0719,Primary
PER_0538,ACC_0165,Primary
PER_0538,ACC_0234,Primary
PER_0539,ACC_0081,Primary
PER_0539,ACC_0115,Primary
PER_0540,ACC_0009,Primary
PER_0541,ACC_0537,Benami
PER_0542,ACC_1071,Primary
PER_0543,ACC_0716,Primary
PER_0543,ACC_0949,Primary
PER_0544,ACC_0290,Primary
PER_0545,ACC_0253,Benami
PER_0546,ACC_0697,Primary
PER_0547,ACC_1039,Primary
PER_0548,ACC_1011,Benami
PER_0549,ACC_0823,Primary
